name,last_match_date,current_elo,peak_elo,selo_Clay,selo_Grass,selo_Hard,wr_Clay,wr_Grass,wr_Hard,overall_wr,form10_wr,form5_wr,streak,avg_rest_days,matches_28d,active
Abedallah Shelbayh,2026-04-26,2155.517392182516,2155.517392182516,1726.1869852597365,1490.767371205692,1474.617672236443,0.8750125880281691,0.4166666666666667,0.3888888888888889,0.9207288525506498,0.9175580066526758,0.9175580066526758,2.0,25.5,3.0,True
Jannik Sinner,2026-04-12,2154.09605048171,2154.09605048171,1718.8243037750326,1656.138834211696,2000.6189173965915,0.862513846830986,0.717391304347826,0.961780147863786,0.9175580066526758,0.9785857343409514,0.9954964003726297,17.0,3.038807210427319,10.549563794342196,True
Carlos Alcaraz,2026-04-16,2013.0817176108624,2061.663522530714,1796.7697579405874,1691.3898982470423,1891.3900598290304,0.6757119538113319,0.7857142857142857,0.7073498777985125,0.7498785602572079,0.7000535226161457,0.6032134144000003,-1.0,3.5875339560449406,9.231995711489322,True
Novak Djokovic,2026-03-10,1986.94280005728,2062.5820382544034,1758.3158157605112,1708.3031901515265,1887.6338775491183,0.7764705882352941,0.8372093023255814,0.7558640510948904,0.8145648653061223,0.7437056000000001,0.6976000000000001,-1.0,7.510063829787234,4.432317559501661,True
Adam Walton,2026-04-27,1908.0886103909506,1908.0886103909506,1769.6174182170585,1498.8947700442557,1459.1655425041606,0.7427601307890221,0.4666666666666667,0.3453352552083332,0.7518340174554338,0.7419073781536512,0.7419073781536512,2.0,14.772777500000002,7.072386432644349,True
Ben Shelton,2026-04-19,1838.8077462867016,1849.911769242864,1513.6898748395492,1534.3488888751897,1767.3691010188338,0.4838709677419355,0.5357142857142857,0.8567543721041665,0.781939759565873,0.8609119663369165,0.8748294405962074,5.0,5.331398316795027,6.69667449769993,True
Adolfo Daniel Vallejo,2026-04-24,1817.7961524979821,1817.7961524979821,1504.3354346068375,1500.0,1500.0,0.4608294930875576,0.5,0.5,0.7666076074175227,0.781939759565873,0.781939759565873,-1.0,30.0,2.0,True
Taylor Fritz,2026-03-24,1807.6267966306448,1873.8834278488664,1625.7852600714043,1627.172979092804,1780.543305753795,0.6060606060606061,0.673469387755102,0.6341659813162864,0.6863003283394405,0.6720806420828492,0.6035522891022338,-1.0,4.645274742068874,6.700762237540254,True
Felix Auger Aliassime,2026-04-10,1797.8272517637463,1806.440211445617,1627.957133812787,1525.7683256808434,1695.4549841834478,0.5829891304347826,0.5555555555555556,0.6136020914046167,0.6567161654750027,0.6489327997195634,0.5839115720203438,-1.0,5.0873934013370015,6.379124372815899,True
Ainius Sabaliauskas,2026-04-26,1792.086959602277,1792.086959602277,1623.0446650769175,1500.0,1500.0,0.8217674220401691,0.5,0.5454545454545454,0.7569609130462792,0.7472393495681304,0.7472393495681304,2.0,30.0,3.0,True
Adria Soriano Barrera,2026-04-24,1790.4953574491121,1790.4953574491121,1580.1916359841657,1500.0,1500.0,0.5200893765133171,0.5,0.4545454545454545,0.6666652167932173,0.6799985211290817,0.6799985211290817,-1.0,30.0,2.0,True
Arthur Fils,2026-04-19,1784.6317072708575,1784.6317072708575,1610.179686635852,1522.8684911269345,1663.2656848546042,0.8039441642441859,0.5238095238095238,0.6983445533177788,0.7472393495681304,0.833208668724798,0.8977658678009486,5.0,4.523831511128931,8.289762603945391,True
Adrian Mannarino,2026-04-27,1781.2804963213382,1781.2804963213382,1622.0850080204004,1543.1965348105002,1575.0441647883974,0.5754446640316205,0.5490196078431373,0.4302048992968749,0.650688620649041,0.6567161654750027,0.6567161654750027,-1.0,8.706168444398191,5.465110299014707,True
Ajeet Rai,2026-04-27,1763.5982449321598,1763.5982449321598,1630.7466092313016,1500.0,1474.121421511589,0.5961538461538463,0.5,0.3571428571428571,0.6478605820013212,0.633775005281374,0.633775005281374,2.0,37.5,3.0,True
Daniil Medvedev,2026-04-06,1753.5103500231432,1934.8906562156872,1618.4147403079069,1628.4687329611786,1737.5469876383715,0.5557692307692308,0.6875,0.6530014052364074,0.633775005281374,0.4925504300151059,0.4968185410355201,-2.0,5.478813332941038,5.213923466984436,True
Jack Draper,2026-04-13,1748.0143268153463,1781.6745721051768,1499.9009285999553,1574.8703467411535,1690.2681811645828,0.3966666666666666,0.6176470588235294,0.568579928125,0.555900742630222,0.5533021339648001,0.3803136000000001,-2.0,11.915468888059705,2.622511602890138,True
