player_key,player,elo_current,elo_peak,wr_overall_sm,wr_Clay_sm,wr_Grass_sm,wr_Hard_sm,form10,form5,streak,avg_rest_days,rank_latest,matches_played,wins,last_date,raw_win_rate
aziz dougaz,Aziz Dougaz,1527.1518226277667,1535.1564364034652,0.5555555555555556,0.5,0.5,0.5714285714285714,0.625,0.4,1,48.625,235.0,9,5,2024-09-13,0.5555555555555556
alex knaff,Alex Knaff,1527.145763053021,1534.328450662193,0.5882352941176471,0.5,0.5,0.5833333333333334,0.7142857142857143,0.6,1,30.0,500.0,8,6,2024-09-14,0.75
tim van rijthoven,Tim Van Rijthoven,1526.7279904015245,1608.3415370901712,0.5333333333333333,0.5,0.6190476190476191,0.42105263157894735,0.3,0.4,-2,16.25,110.0,20,11,2024-06-10,0.55
thiago seyboth wild,Thiago Seyboth Wild,1524.7388130705158,1538.4026936756325,0.41333333333333333,0.425531914893617,0.5,0.4117647058823529,0.4,0.4,-2,12.707692307692307,80.0,65,26,2024-10-21,0.4
august holmgren,August Holmgren,1523.6279608087038,1528.0805634299595,0.5238095238095238,0.5,0.5384615384615384,0.5,0.5,0.8,-1,31.272727272727273,,11,6,2025-07-05,0.5454545454545454
yuttana charoenphon,Yuttana Charoenphon,1523.5694842377552,1523.5694842377552,0.5833333333333334,0.5,0.5,0.5454545454545454,0.5,0.5,2,45.0,960.0,3,2,2023-02-03,0.6666666666666666
andy murray,Andy Murray,1523.5075955118978,1651.4099311310852,0.5,0.3888888888888889,0.5483870967741935,0.5,0.4,0.2,1,9.420634920634921,97.0,127,63,2024-06-17,0.49606299212598426
laslo djere,Laslo Djere,1523.489071495437,1637.4310402568442,0.48717948717948717,0.5360824742268041,0.4074074074074074,0.46153846153846156,0.5,0.6,-2,7.962162162162162,141.0,185,90,2025-07-01,0.4864864864864865
andres andrade,Andres Andrade,1523.185691787672,1523.185691787672,0.5833333333333334,0.5454545454545454,0.5,0.5,0.5,0.5,2,45.0,669.0,3,2,2024-09-14,0.6666666666666666
stan wawrinka,Stan Wawrinka,1522.9664028074778,1630.4504340886613,0.45689655172413796,0.45454545454545453,0.5,0.4594594594594595,0.5,0.4,-2,9.90566037735849,169.0,106,48,2024-11-04,0.4528301886792453
christian harrison,Christian Harrison,1521.6910342682759,1535.6000088421538,0.5625,0.45454545454545453,0.5,0.5714285714285714,0.6666666666666666,0.6,1,25.0,312.0,7,4,2022-06-27,0.5714285714285714
ricardas berankis,Ricardas Berankis,1521.3456993949874,1531.4434097490298,0.47761194029850745,0.375,0.47058823529411764,0.5434782608695652,0.6,0.4,1,14.894736842105264,231.0,58,28,2024-02-03,0.4827586206896552
alexandre muller,Alexandre Muller,1520.6240573004952,1548.5119156255546,0.42857142857142855,0.4857142857142857,0.4666666666666667,0.40425531914893614,0.4,0.2,-1,12.835820895522389,,67,28,2025-07-31,0.417910447761194
matteo bellucci,Matteo Bellucci,1520.443441251734,1529.2569938302306,0.5384615384615384,0.5,0.5384615384615384,0.5,0.6666666666666666,0.6666666666666666,-1,11.333333333333334,,3,2,2025-07-05,0.6666666666666666
quentin halys,Quentin Halys,1519.897058951673,1559.8329768690678,0.41975308641975306,0.5416666666666666,0.5,0.36363636363636365,0.3,0.4,-2,14.816901408450704,84.0,71,29,2025-07-01,0.4084507042253521
matheus pucinelli de almeida,Matheus Pucinelli De Almeida,1519.8029384169456,1521.188743913566,0.5714285714285714,0.5384615384615384,0.5,0.5,0.75,0.75,1,37.5,264.0,4,3,2023-02-03,0.75
moez echargui,Moez Echargui,1519.5337062453816,1534.738708755077,0.5714285714285714,0.45454545454545453,0.5,0.5454545454545454,0.75,0.75,-1,37.5,279.0,4,3,2024-07-29,0.75
blaise bicknell,Blaise Bicknell,1519.487043703871,1521.2991047622384,0.5625,0.46153846153846156,0.5,0.5833333333333334,0.6666666666666666,0.6,1,35.0,430.0,7,5,2024-02-03,0.7142857142857143
antoine bellier,Antoine Bellier,1518.2814139974805,1539.6952993060595,0.5294117647058824,0.5,0.5714285714285714,0.46153846153846156,0.5714285714285714,0.4,-2,21.428571428571427,192.0,7,4,2023-02-06,0.5714285714285714
elmer moller,Elmer Moller,1517.7413178532897,1525.1086535868017,0.5294117647058824,0.5454545454545454,0.45454545454545453,0.5333333333333333,0.5714285714285714,0.6,-1,47.142857142857146,247.0,7,4,2025-07-01,0.5714285714285714
jerome kym,Jerome Kym,1516.8166363544435,1524.1723629473345,0.5384615384615384,0.5,0.5,0.5384615384615384,0.6666666666666666,0.6666666666666666,-1,42.666666666666664,151.0,3,2,2024-10-21,0.6666666666666666
yibing wu,Yibing Wu,1516.4967039433066,1588.404357872579,0.4772727272727273,0.42105263157894735,0.4,0.5625,0.3,0.4,1,13.176470588235293,566.0,36,17,2024-10-02,0.4722222222222222
pablo llamas ruiz,Pablo Llamas Ruiz,1515.742405685467,1535.0464484396582,0.5,0.5,0.5,0.5,0.5,0.4,-2,21.375,152.0,8,4,2024-04-22,0.5
