feature,importance
diff_wr_Hard,0.13150948975623933
rank_diff,0.09379459286658265
diff_wr_Clay,0.08312293191271612
selo_diff,0.07416146326168652
diff_peak_elo,0.07254328194317529
diff_win_rate,0.0725015704082222
elo_diff,0.07187207364778866
diff_current_elo,0.06979554401688265
diff_avg_rest_days,0.06236755955775531
diff_wr_Grass,0.048300515931067864
diff_matches_28d,0.03723172654776028
diff_rolling_10_winrate,0.03361442892394357
diff_streak,0.025048657398682162
diff_rolling_5_winrate,0.023854016842051688
surface_Hard,0.01475119409515015
surface_Clay,0.014058264890161513
diff_h2h_wr_prior,0.010128474533075704
round_R32,0.007595104096218903
tourney_level_A,0.006399273753880148
surface_Grass,0.006149323340034239
round_R16,0.005687742468261989
tourney_level_M,0.004870476189723999
round_R64,0.003950653619831285
round_QF,0.003557162406412708
best_of_3,0.003367716859675603
best_of_5,0.003290767116106593
tourney_level_G,0.0032262922359120394
round_RR,0.0030769943860512513
round_R128,0.003066139000953641
tourney_level_D,0.002691090242812145
round_SF,0.002205733532213343
round_F,0.0014976595746673332
surface_Other,0.0005997739024456582
tourney_level_F,0.00011231074185755884
round_BR,0.0
