name,last_match_date,current_elo,peak_elo,selo_Clay,selo_Grass,selo_Hard,wr_Clay,wr_Grass,wr_Hard,overall_wr,form10_wr,form5_wr,streak,avg_rest_days,matches_28d
Davis Rolis,2024-09-14,1487.1927702260737,1487.1927702260737,1500.0,1500.0,1491.0,0.5,0.5,0.4166666666666667,0.4166666666666667,0.5,0.5,-2.0,45.0,1.0
Thai Son Kwiatkowski,2023-08-21,1487.1586369320855,1487.1586369320855,1500.0,1500.0,1490.5282777631658,0.5,0.5,0.4166666666666667,0.4166666666666667,0.5,0.5,-2.0,45.0,1.0
Blaz Rola,2023-09-15,1487.1535229332126,1487.5714076300158,1499.3372012040102,1500.0,1500.0,0.5384615384615384,0.5,0.4545454545454545,0.4615384615384615,0.3333333333333333,0.3333333333333333,1.0,50.0,1.0
Fajing Sun,2024-09-18,1487.1522225241465,1487.1522225241465,1500.0,1500.0,1500.0,0.4545454545454545,0.5,0.4545454545454545,0.4166666666666667,0.5,0.5,-2.0,45.0,1.0
Oleksandr Ovcharenko,2024-09-13,1487.1507605192314,1487.1507605192314,1500.0,1500.0,1500.0,0.5,0.5,0.4545454545454545,0.4166666666666667,0.5,0.5,-2.0,45.0,1.0
Aleksandre Metreveli,2022-01-03,1487.0950127939009,1487.0950127939009,1500.0,1500.0,1482.7630709037794,0.5,0.5,0.3846153846153846,0.4545454545454545,0.5,0.5,-1.0,30.0,1.0
Liam Broady,2024-07-01,1486.9788432725131,1513.4839215614977,1499.9823810645312,1480.5373942577046,1502.5382883507386,0.4615384615384615,0.4333333333333333,0.4482758620689655,0.4230769230769231,0.3,0.2,-4.0,18.761904761904763,2.0
Ruben Bemelmans,2021-09-18,1486.7882155929224,1486.7882155929224,1490.789559704967,1500.0,1500.0,0.5,0.5,0.5,0.4545454545454545,0.5,0.5,-1.0,30.0,1.0
Nick Chappell,2023-02-27,1486.7797618072618,1486.7797618072618,1500.0,1500.0,1490.7790248172207,0.5,0.5,0.4166666666666667,0.4166666666666667,0.5,0.5,-2.0,45.0,1.0
Yuki Bhambri,2023-02-03,1486.6730749502376,1489.1783548360172,1500.0,1500.0,1482.2523876224138,0.5,0.5454545454545454,0.4,0.4375,0.3333333333333333,0.4,-1.0,33.833333333333336,1.0
Gerald Melzer,2022-07-25,1486.4711971961276,1486.4711971961276,1500.0,1500.0,1500.0,0.4545454545454545,0.5,0.4545454545454545,0.4166666666666667,0.5,0.5,-2.0,45.0,1.0
Roman Andres Burruchaga,2024-05-27,1486.4667336904638,1512.4949671779568,1492.3500841578416,1500.0,1500.0,0.4285714285714285,0.5,0.5,0.4285714285714285,0.25,0.25,-3.0,27.75,1.0
Younes Lalami Laaroussi,2024-09-14,1486.4333708249364,1486.4333708249364,1490.6798687762955,1500.0,1500.0,0.4166666666666667,0.5,0.5,0.4166666666666667,0.5,0.5,-2.0,45.0,1.0
Stefano Napolitano,2024-07-15,1486.3632879919885,1503.4914910035957,1503.5152176506383,1500.0,1500.0,0.4666666666666667,0.4545454545454545,0.4545454545454545,0.4117647058823529,0.2857142857142857,0.4,-3.0,31.428571428571427,1.0
Sho Shimabukuro,2025-09-25,1486.3321156649597,1510.489757643404,1500.0,1500.0,1485.9844574854233,0.5,0.4545454545454545,0.4347826086956521,0.4166666666666667,0.4,0.4,-1.0,19.571428571428573,2.0
Rigele Te,2024-09-13,1486.313738514921,1511.1241679284842,1508.5353941214896,1500.0,1489.0284682728964,0.5833333333333334,0.5,0.4166666666666667,0.4375,0.3333333333333333,0.2,-2.0,37.66666666666666,1.0
Hong Kit Jack Wong,2024-02-03,1486.238020886536,1512.0,1500.0,1500.0,1490.302871758961,0.5,0.5,0.5,0.5,0.5,0.5,1.0,52.5,1.0
Sergey Fomin,2024-09-13,1486.1803941168878,1499.788386978616,1500.0,1500.0,1488.273726248236,0.5,0.5,0.4117647058823529,0.4117647058823529,0.2857142857142857,0.4,-3.0,38.57142857142857,1.0
Nerman Fatic,2024-02-03,1486.0731513697267,1499.9084346284765,1500.0064632711967,1500.0,1500.0,0.4615384615384615,0.5,0.5454545454545454,0.5,0.5,0.5,1.0,52.5,1.0
Darwin Blanch,2025-08-24,1485.9331162912852,1490.4676190707987,1500.0,1500.0,1491.9138232915031,0.4545454545454545,0.5,0.4166666666666667,0.3846153846153846,0.0,0.0,-3.0,41.66666666666666,1.0
Mili Poljicak,2024-07-22,1485.875722627882,1485.875722627882,1490.6054181818477,1500.0,1500.0,0.4166666666666667,0.5,0.5,0.4166666666666667,0.5,0.5,-2.0,45.0,1.0
Rowland Phillips,2024-02-03,1485.74004308821,1510.4570025408025,1499.5341432439589,1500.0,1491.6555893201946,0.4615384615384615,0.5,0.4166666666666667,0.4666666666666667,0.4,0.4,-2.0,42.0,1.0
Jie Cui,2023-09-20,1485.1382024948914,1485.1382024948914,1500.0,1500.0,1500.0,0.5,0.5,0.4545454545454545,0.4166666666666667,0.5,0.5,-2.0,45.0,1.0
Soon Woo Kwon,2024-09-13,1485.040444977754,1596.384693076167,1493.6135731321938,1508.0431810181483,1485.1244726148907,0.4666666666666667,0.5,0.4761904761904761,0.4736842105263157,0.3,0.2,1.0,10.740384615384617,2.0
Hugo Gaston,2025-08-24,1484.9953773940592,1571.7719783549571,1517.0158042390008,1500.5295767445434,1447.669912730007,0.4782608695652174,0.4705882352941176,0.3728813559322034,0.4117647058823529,0.4,0.2,-4.0,14.304347826086955,2.0
Marius Copil,2024-02-03,1484.9184919892846,1520.3750126534835,1484.5436332851102,1500.0,1509.1023740543776,0.3846153846153846,0.5,0.5,0.4117647058823529,0.2857142857142857,0.0,-5.0,31.428571428571427,1.0
Bjorn Fratangelo,2023-07-31,1484.8411793938917,1512.0,1492.6337499863432,1500.0,1497.6759128921342,0.4166666666666667,0.5,0.4705882352941176,0.4210526315789473,0.3333333333333333,0.2,-3.0,36.22222222222222,1.0
Kimmer Coppejans,2023-09-20,1484.230328860603,1488.0,1500.0,1500.0,1492.1962427696358,0.5,0.4545454545454545,0.4285714285714285,0.4285714285714285,0.25,0.25,1.0,39.25,1.0
George Loffhagen,2025-07-01,1483.8715471232806,1487.1844588028082,1500.0,1482.15151051905,1500.0,0.5,0.3846153846153846,0.5,0.3846153846153846,0.0,0.0,-3.0,32.333333333333336,1.0
