match_id,date,p1_name,p2_name,y,diff_avg_rest_days,diff_matches_28d,diff_rolling_10_winrate,diff_rolling_5_winrate,diff_streak,diff_win_rate,diff_peak_elo,diff_current_elo,diff_wr_Clay,diff_wr_Grass,diff_wr_Hard,elo_diff,selo_diff,rank_diff,diff_h2h_wr_prior,surface,tourney_level,best_of,round
46,2021-01-05,Altug Celikbilek,Nikoloz Basilashvili,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,Hard,A,3,R16
47,2021-01-05,Hugo Grenier,Jan Lennard Struff,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,Hard,A,3,R16
44,2021-01-05,Emil Ruusuvuori,Stefano Travaglia,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,Hard,A,3,R16
49,2021-01-05,Alexander Bublik,Tristan Lamasine,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-222.0,0.0,Hard,A,3,R16
57,2021-01-05,Alex De Minaur,Alexander Bublik,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.0,0.0,Hard,A,3,F
51,2021-01-05,David Goffin,Stefano Travaglia,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.0,0.0,Hard,A,3,QF
52,2021-01-05,Alex De Minaur,Nikoloz Basilashvili,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,0.0,Hard,A,3,QF
53,2021-01-05,Jan Lennard Struff,Jeremy Chardy,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,0.0,Hard,A,3,QF
54,2021-01-05,Alexander Bublik,Matteo Berrettini,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,Hard,A,3,QF
55,2021-01-05,Alex De Minaur,David Goffin,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,Hard,A,3,SF
43,2021-01-05,David Goffin,Nicola Kuhn,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-237.0,0.0,Hard,A,3,R16
50,2021-01-05,Dimitar Kuzmanov,Matteo Berrettini,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,Hard,A,3,R16
42,2021-01-05,Ergi Kirkin,Matteo Berrettini,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
56,2021-01-05,Alexander Bublik,Jeremy Chardy,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.0,0.0,Hard,A,3,SF
40,2021-01-05,Egor Gerasimov,Tristan Lamasine,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
41,2021-01-05,Dimitar Kuzmanov,Laslo Djere,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
27,2021-01-05,David Goffin,Pierre Hugues Herbert,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
29,2021-01-05,Emil Ruusuvuori,Jiri Vesely,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
30,2021-01-05,Miomir Kecmanovic,Stefano Travaglia,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
31,2021-01-05,Alex De Minaur,Malek Jaziri,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
32,2021-01-05,Adrian Andreev,Marsel Ilhan,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
28,2021-01-05,Matthias Bachinger,Nicola Kuhn,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
34,2021-01-05,Andrea Arnaboldi,Nikoloz Basilashvili,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
35,2021-01-05,Jan Lennard Struff,Pavel Kotov,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
36,2021-01-05,Alex Molcan,Hugo Grenier,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
37,2021-01-05,Jeremy Chardy,Radu Albot,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
38,2021-01-05,Fabio Fognini,Michael Vrbensky,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
33,2021-01-05,Altug Celikbilek,Kacper Zuk,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
39,2021-01-05,Alexander Bublik,Salvatore Caruso,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
130,2021-02-01,Emil Ruusuvuori,Viktor Troicki,1,-5.0,2,0.0,0.0,-1,0.0,12.0,0.0,0.0,0.0,0.16666666666666663,0.0,0.0,-1913.0,0.0,Hard,A,3,R64
131,2021-02-01,Federico Coria,Radu Albot,1,-10.0,-1,0.0,0.0,1,0.5,0.0,12.0,0.0,0.0,1.0,12.0,9.0,1915.0,0.0,Hard,A,3,R64
132,2021-02-01,Elias Ymer,Gilles Simon,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
133,2021-02-01,Jeremy Chardy,Marin Cilic,1,-12.5,4,0.25,0.25,-1,0.25,36.0,24.0,0.0,0.0,0.375,24.0,18.0,-1928.0,0.0,Hard,A,3,R64
136,2021-02-01,Juan Ignacio Londero,Mikhail Kukushkin,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
135,2021-02-01,Alex Bolt,Thanasi Kokkinakis,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
137,2021-02-01,Andrew Harris,Grigor Dimitrov,0,10.0,1,0.0,0.0,1,0.5,0.0,12.0,0.0,0.0,0.0,12.0,9.0,-1768.0,0.0,Hard,A,3,R32
138,2021-02-01,Alexei Popyrin,Tommy Paul,1,10.666666666666668,-2,-0.16666666666666663,-0.16666666666666663,0,0.33333333333333337,-12.0,-0.8138640759884765,0.0,0.0,0.33333333333333337,-0.8138640759884765,-0.4599908757825233,61.0,0.0,Hard,A,3,R32
129,2021-02-01,Harry Bourchier,Marc Polmans,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
134,2021-02-01,Mackenzie Mcdonald,Richard Gasquet,1,10.0,1,0.0,0.0,-1,-0.5,0.0,-12.0,0.0,0.0,0.0,-12.0,-9.0,-1806.0,0.0,Hard,A,3,R64
128,2021-02-01,Alexandre Muller,Nick Kyrgios,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
121,2021-02-01,Marco Cecchinato,Marton Fucsovics,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
126,2021-02-01,Marcos Giron,Michael Mmoh,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
125,2021-02-01,Li Tu,Pedro Sousa,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
124,2021-02-01,Frederico Ferreira Silva,Jiri Vesely,0,-10.0,-1,0.0,0.0,1,0.5,0.0,12.0,0.0,0.0,-0.25,12.0,9.0,1933.0,0.0,Hard,A,3,R64
123,2021-02-01,Ricardas Berankis,Sumit Nagal,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
122,2021-02-01,Jason Kubler,Lorenzo Sonego,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
139,2021-02-01,Albert Ramos,Corentin Moutet,0,0.0,0,0.0,0.0,0,0.0,0.0,-0.4138069446348709,0.0,0.0,0.0,-0.4138069446348709,-0.23292830815012167,-34.0,0.0,Hard,A,3,R32
120,2021-02-01,Egor Gerasimov,Lloyd Harris,1,10.0,1,0.0,0.0,-1,-0.5,0.0,-12.0,0.0,0.0,0.16666666666666663,-12.0,-9.0,-1922.0,0.0,Hard,A,3,R64
119,2021-02-01,Quentin Halys,Yuichi Sugita,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
118,2021-02-01,James Duckworth,Tomas Machac,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
117,2021-02-01,Corentin Moutet,Frances Tiafoe,1,10.0,-3,-0.16666666666666663,-0.16666666666666663,1,-0.16666666666666663,-24.0,-11.98569057146915,0.0,0.0,0.33333333333333337,-11.98569057146915,-8.993962158036311,1938.0,0.0,Hard,A,3,R64
116,2021-02-01,Albert Ramos,Blake Mott,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
115,2021-02-01,Cameron Norrie,Tommy Paul,0,-7.5,2,0.25,0.25,0,0.25,23.600008842153784,23.600008273365574,0.0,0.0,0.08333333333333337,23.600008273365574,17.772953131703844,22.0,0.0,Hard,A,3,R64
127,2021-02-01,Adrian Mannarino,Mikael Ymer,1,10.0,1,0.0,0.0,-1,-0.5,0.0,-11.585699413622933,0.0,0.0,0.0,-11.585699413622933,-8.766915391928478,-1966.0,0.0,Hard,A,3,R64
140,2021-02-01,James Duckworth,Ugo Humbert,1,10.0,1,0.0,0.0,1,0.5,0.0,12.0,0.0,0.0,0.5,12.0,9.0,-1895.0,0.0,Hard,A,3,R32
148,2021-02-01,Borna Coric,Emil Ruusuvuori,1,1.0,-3,-0.16666666666666663,-0.16666666666666663,-1,-0.16666666666666663,-12.0,-12.0,0.0,0.0,0.33333333333333337,-12.0,-9.0,1914.0,0.0,Hard,A,3,R32
142,2021-02-01,Egor Gerasimov,Marton Fucsovics,1,-1.5,1,0.0,0.0,0,-0.5,0.0,-11.585699413622933,0.0,0.0,-0.33333333333333337,-11.585699413622933,-8.766915391928478,23.0,0.0,Hard,A,3,R32
114,2021-02-01,Alexei Popyrin,Borna Gojo,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R64
167,2021-02-01,Daniel Evans,Felix Auger Aliassime,1,0.0,0,0.0,0.0,0,0.0,0.3604658965684848,1.0400054312005977,0.0,0.0,0.0,1.0400054312005977,0.6123165943374715,12.0,0.0,Hard,A,3,F
166,2021-02-01,Daniel Evans,Jeremy Chardy,1,2.875,-5,0.125,0.19999999999999996,-1,0.125,-32.40257288016414,-31.286184593861663,0.0,0.0,0.125,-31.286184593861663,-24.311898887292955,-33.0,0.0,Hard,A,3,SF
165,2021-02-01,Corentin Moutet,Felix Auger Aliassime,0,-2.5,1,0.0,0.0,1,0.0,11.943290083476086,11.531441260933889,0.0,0.0,0.0,11.531441260933889,8.743705987023077,59.0,0.0,Hard,A,3,SF
164,2021-02-01,Jeremy Chardy,Stan Wawrinka,1,-6.857142857142858,5,0.3571428571428571,0.30000000000000004,1,-0.1428571428571429,33.958923519984864,32.403049053611085,0.0,0.0,-0.125,32.403049053611085,24.957593210904633,48.0,0.0,Hard,A,3,QF
163,2021-02-01,Borna Coric,Daniel Evans,0,0.0,0,0.0,0.0,0,0.0,0.0,0.013324772609848878,0.0,0.0,0.0,0.013324772609848878,0.005725723686737183,-8.0,0.0,Hard,A,3,QF
162,2021-02-01,Felix Auger Aliassime,Jiri Vesely,1,0.75,-2,-0.25,-0.25,-1,0.25,0.01430942853085071,-0.3723761098842715,0.0,0.0,0.25,-0.3723761098842715,-0.2152876346967787,-48.0,0.0,Hard,A,3,QF
161,2021-02-01,Corentin Moutet,Grigor Dimitrov,1,-5.0,1,0.5,0.5,1,0.0,11.98521397948457,11.55612842806704,0.0,0.0,0.0,11.55612842806704,8.754535398976714,61.0,0.0,Hard,A,3,QF
160,2021-02-01,Alex Bolt,Stan Wawrinka,0,-15.0,1,0.0,0.0,1,0.0,12.0,11.185691787672113,0.0,0.0,0.0,11.185691787672113,8.539864680946039,156.0,0.0,Hard,A,3,R16
159,2021-02-01,Jeremy Chardy,Taylor Fritz,1,-20.5,5,0.33333333333333337,0.30000000000000004,1,-0.16666666666666663,36.0,33.97321648041111,0.0,0.0,-0.125,33.97321648041111,25.85327186424638,36.0,0.0,Hard,A,3,R16
158,2021-02-01,Borna Coric,Nick Kyrgios,1,15.0,-1,0.0,0.0,-1,0.0,-12.0,-11.585699413622933,0.0,0.0,0.0,-11.585699413622933,-8.766915391928478,-22.0,0.0,Hard,A,3,R16
157,2021-02-01,Daniel Evans,Marcos Giron,1,15.0,-1,0.0,0.0,-1,0.0,-12.0,-11.199492733728903,0.0,0.0,0.0,-11.199492733728903,-8.545742574042606,-40.0,0.0,Hard,A,3,R16
156,2021-02-01,Jiri Vesely,Ricardas Berankis,1,4.0,1,0.16666666666666663,0.16666666666666663,0,-0.33333333333333337,-11.585699413622933,-11.600008842153784,0.0,0.0,-0.25,-11.600008842153784,-8.772953233892167,-3.0,0.0,Hard,A,3,R16
155,2021-02-01,Egor Gerasimov,Felix Auger Aliassime,0,-11.0,2,0.16666666666666663,0.16666666666666663,1,-0.33333333333333337,0.4143005863770668,0.4000076259508205,0.0,0.0,-0.33333333333333337,0.4000076259508205,0.22705071098243934,57.0,0.0,Hard,A,3,R16
154,2021-02-01,Corentin Moutet,James Duckworth,1,0.0,0,0.0,0.0,0,0.0,0.4138069446348709,0.8138151522387034,0.0,0.0,0.0,0.8138151522387034,0.4599791230621122,-25.0,0.0,Hard,A,3,R16
153,2021-02-01,Alexei Popyrin,Grigor Dimitrov,0,-15.0,1,0.0,0.0,1,0.0,12.0,11.61380923154411,0.0,0.0,0.0,11.61380923154411,8.77883102646797,95.0,0.0,Hard,A,3,R16
152,2021-02-01,Mikhail Kukushkin,Stan Wawrinka,0,10.0,1,0.0,0.0,1,0.5,0.0,12.0,0.0,0.0,0.0,12.0,9.0,-1910.0,0.0,Hard,A,3,R32
151,2021-02-01,Alex Bolt,Mackenzie Mcdonald,1,1.0,-1,0.0,0.0,0,0.5,0.0,11.585699413622933,0.0,0.0,0.5,11.585699413622933,8.766915391928478,-20.0,0.0,Hard,A,3,R32
150,2021-02-01,Gilles Simon,Jeremy Chardy,0,18.6,-4,-0.30000000000000004,-0.30000000000000004,0,0.19999999999999996,-36.0,-23.17238532655597,0.0,0.0,0.125,-23.17238532655597,-17.53414324395885,-2.0,0.0,Hard,A,3,R32
149,2021-02-01,Federico Coria,Taylor Fritz,0,10.0,1,0.0,0.0,1,0.5,0.0,11.585699413622933,0.0,0.0,0.0,11.585699413622933,8.766915391928478,-1908.0,0.0,Hard,A,3,R32
147,2021-02-01,Harry Bourchier,Nick Kyrgios,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,0.0,Hard,A,3,R32
146,2021-02-01,Adrian Mannarino,Marcos Giron,0,-1.0,1,0.0,0.0,0,-0.5,0.0,-11.185691787672113,0.0,0.0,-0.5,-11.185691787672113,-8.539864680946039,-38.0,0.0,Hard,A,3,R32
145,2021-02-01,Daniel Evans,Pedro Sousa,1,-10.0,-1,0.0,0.0,-1,-0.5,0.0,-12.0,0.0,0.0,0.0,-12.0,-9.0,1892.0,0.0,Hard,A,3,R32
144,2021-02-01,Casper Ruud,Jiri Vesely,0,-8.5,-2,0.0,0.0,-1,0.0,0.0,-0.4143005863770668,0.0,0.0,-0.25,-0.4143005863770668,-0.23308460807152187,1931.0,0.0,Hard,A,3,R32
