player,matches,wins,losses,avg_rest_days,matches_28d_latest,rolling_10_winrate_latest,rolling_5_winrate_latest,streak_latest,win_rate,peak_elo,current_elo,wr_Clay,wr_Grass,wr_Hard,wr_Unknown
Martin Damm,3,2,1,10.0,2,0.0,0.0,-1,0.6667,1532.4254471440292,1532.4254471440292,,,0.6667,
Thiago Seyboth Wild,65,26,39,12.707692307692307,4,0.4,0.4,-1,0.4,1538.4026936756325,1532.3916456121917,0.4054,0.5,0.375,
Borna Coric,114,60,54,8.807017543859649,2,0.4,0.4,-1,0.5263,1671.6018643185494,1531.7957399756,0.4828,0.2,0.5625,
Alexander Shevchenko,86,38,48,9.069767441860465,3,0.5,0.6,-1,0.4419,1574.5318211523484,1531.1954526162378,0.4286,0.25,0.463,
Antoine Bellier,7,4,3,21.428571428571427,0,0.6666666666666666,0.6,-1,0.5714,1539.6952993060595,1530.0444573475559,,0.75,0.3333,
Pablo Llamas Ruiz,8,4,4,21.375,3,0.5714285714285714,0.6,-1,0.5,1535.0464484396582,1529.6675381173202,0.5,,0.5,
Aleksandar Vukic,92,41,51,10.521739130434783,8,0.6,0.8,-1,0.4457,1567.4732150505206,1529.0604766706106,0.3333,0.5556,0.4355,
Zsombor Piros,12,8,4,37.583333333333336,1,0.6,0.6,2,0.6667,1542.5566840623906,1528.7888661910788,0.75,,0.625,
Gabriel Diallo,26,11,15,22.23076923076923,0,0.6,0.8,-1,0.4231,1535.754014199191,1527.7563500629376,0.0,0.0,0.4783,
Arthur Rinderknech,156,74,82,8.544871794871796,6,0.5,0.6,0,0.4744,1585.3348059308378,1526.8186258240378,0.475,0.3684,0.4948,
Daniel Vallejo,4,3,1,22.5,1,1.0,1.0,-1,0.75,1535.5587132342207,1524.4000793326124,0.5,,,1.0
Billy Harris,15,8,7,13.133333333333333,1,0.5,0.4,-1,0.5333,1555.0897319676164,1524.275944002837,,0.6,0.4,
Gijs Brouwer,27,13,14,18.962962962962962,3,0.4,0.4,-1,0.4815,1575.5943130864757,1524.2049015239595,0.5556,0.375,0.5,
Jerome Kym,3,2,1,42.666666666666664,0,0.0,0.0,-1,0.6667,1524.1723629473345,1524.1723629473345,,,0.6667,
Nam Hoang Ly,4,4,0,22.5,1,1.0,1.0,4,1.0,1534.757199104424,1523.5999923740492,,,1.0,1.0
Yuttana Charoenphon,3,2,1,30.0,1,0.3333333333333333,0.3333333333333333,-1,0.6667,1523.5694842377552,1523.5694842377552,,,1.0,0.5
Andy Murray,127,63,64,9.346456692913385,4,0.4,0.2,-1,0.4961,1651.4099311310852,1523.5075955118978,0.25,0.5714,0.5,
Alexandre Muller,64,27,37,12.03125,2,0.5,0.6,-1,0.4219,1548.5119156255546,1523.285310007728,0.48,0.5,0.3714,
Altug Celikbilek,13,8,5,35.46153846153846,0,0.6,0.6,1,0.6154,1523.3535348272717,1523.2535928508114,0.0,0.0,0.7,1.0
Andres Andrade,3,2,1,30.0,1,0.3333333333333333,0.3333333333333333,-1,0.6667,1523.185691787672,1523.185691787672,1.0,,0.5,
Yu Hsiou Hsu,7,3,4,26.428571428571427,0,0.5,0.6,-1,0.4286,1528.6500958970953,1522.3412636992903,,,0.4286,
Beibit Zhukayev,9,4,5,26.666666666666668,3,0.5,0.6,0,0.4444,1521.8160180483517,1521.8160180483517,,,0.4444,
Ricardas Berankis,58,28,30,14.637931034482758,1,0.6,0.4,1,0.4828,1531.4434097490298,1521.3456993949874,0.2857,0.4286,0.5556,1.0
Filip Misolic,18,9,9,21.0,0,0.4,0.4,-1,0.5,1554.9386121670811,1519.9670553319693,0.5714,,0.25,
Adrian Mannarino,208,101,107,6.846153846153846,6,0.4,0.4,-1,0.4856,1708.445517563741,1518.9735119327172,0.1,0.5526,0.52,
Thiago Agustin Tirante,17,8,9,23.941176470588236,0,0.5,0.6,-1,0.4706,1527.5715066520177,1518.3253256356088,0.5,,0.3333,
Coleman Wong,14,7,7,28.857142857142858,3,0.5,0.6,-1,0.5,1534.5612935037204,1518.165899100677,,0.0,0.5385,
Aristotelis Thanos,4,2,2,52.5,0,0.6666666666666666,0.6666666666666666,0,0.5,1517.1634041163727,1517.1634041163727,1.0,,0.3333,
Alex Knaff,8,6,2,26.25,1,0.7142857142857143,0.6,1,0.75,1534.328450662193,1517.107625654315,0.5,,1.0,1.0
Ignacio Buse,4,2,2,37.5,0,0.6666666666666666,0.6666666666666666,-1,0.5,1528.114946527133,1516.9907616983578,1.0,,0.3333,
Ilya Ivashka,118,62,56,7.61864406779661,4,0.3,0.4,-1,0.5254,1649.647685649574,1516.8824433291825,0.4688,0.5,0.5606,
Andrea Vavassori,21,9,12,23.19047619047619,1,0.4,0.4,-1,0.4286,1527.901215320456,1515.5961904516232,0.4667,0.0,0.5,
Aziz Dougaz,9,5,4,43.22222222222222,1,0.625,0.4,-1,0.5556,1535.1564364034652,1515.2952210874068,0.5,,0.75,0.0
Thiago Monteiro,117,50,67,11.136752136752136,1,0.3,0.2,-1,0.4274,1572.0454875869957,1515.0661789576056,0.459,0.1667,0.4082,1.0
Aslan Karatsev,154,76,78,8.435064935064934,2,0.3,0.4,-1,0.4935,1643.371174108486,1514.8835136967202,0.4889,0.3333,0.5155,
Giles Hussey,2,1,1,15.0,1,0.3333333333333333,0.3333333333333333,0,0.5,1514.3870082336118,1514.3870082336118,,0.5,,
Christopher Oconnell,112,46,66,10.883928571428571,4,0.4,0.4,0,0.4107,1570.8475078789722,1513.4920294270667,0.36,0.4,0.4286,
Fabio Fognini,137,62,75,9.72992700729927,2,0.3,0.2,-1,0.4526,1571.7622967249242,1512.8447830858145,0.5,0.5455,0.3906,
Aisam Ul Haq Qureshi,4,2,2,52.5,0,0.6666666666666666,0.6666666666666666,0,0.5,1512.3999911578462,1512.3999911578462,,0.5,,
Matija Pecotic,2,1,1,15.0,1,0.0,0.0,0,0.5,1512.2147830218528,1512.2147830218528,,,0.5,
N Sriram Balaji,2,1,1,45.0,0,1.0,1.0,0,0.5,1512.0269974625467,1512.0269974625467,,1.0,0.0,
Zura Tkemaladze,3,1,2,30.0,1,,,-1,0.3333,1512.0,1512.0,,,0.0,1.0
Alexandros Skorilas,2,1,1,45.0,0,0.6666666666666666,0.6666666666666666,0,0.5,1512.0,1512.0,,,0.5,
David Jorda Sanchis,2,1,1,15.0,1,0.0,0.0,0,0.5,1512.0,1512.0,0.5,,,
Harry Bourchier,2,1,1,15.0,1,0.0,0.0,0,0.5,1512.0,1512.0,,,0.5,
Hernando Jose Escurra Isnardi,2,1,1,45.0,0,0.6666666666666666,0.6666666666666666,0,0.5,1512.0,1512.0,1.0,,,0.0
Ioannis Xilas,2,1,1,45.0,0,0.3333333333333333,0.3333333333333333,0,0.5,1512.0,1512.0,,,0.5,
Juan Carlos Fuentes Vasquez,2,1,1,45.0,0,0.0,0.0,0,0.5,1512.0,1512.0,0.0,,1.0,
Justin Barki,2,1,1,15.0,1,0.3333333333333333,0.3333333333333333,0,0.5,1512.0,1512.0,,,0.5,
Yuta Shimizu,2,1,1,45.0,0,0.3333333333333333,0.3333333333333333,0,0.5,1512.0,1512.0,,1.0,0.0,
Robert Strombachs,6,3,3,45.0,0,0.6,0.6,0,0.5,1511.936203027307,1511.936203027307,,,0.6,0.0
Pedja Krstin,2,1,1,15.0,1,0.3333333333333333,0.3333333333333333,0,0.5,1511.8213077663822,1511.8213077663822,0.5,,,
Mats Moraing,2,1,1,15.0,1,0.0,0.0,0,0.5,1511.6964050627096,1511.6964050627096,0.5,,,
Cezar Cretu,2,2,0,15.0,1,0.6666666666666666,0.6666666666666666,2,1.0,1511.6679471053226,1511.6679471053226,,,1.0,
Christian Harrison,7,4,3,21.428571428571427,1,0.6666666666666666,0.6,-1,0.5714,1535.6000088421538,1511.6376705726354,0.0,0.5,0.75,
Alvaro Guillen Meza,2,1,1,45.0,0,0.6666666666666666,0.6666666666666666,0,0.5,1511.5432685656713,1511.5432685656713,0.5,,,
Laurynas Grigelis,2,1,1,45.0,0,0.3333333333333333,0.3333333333333333,0,0.5,1511.201328438636,1511.201328438636,,0.0,1.0,
Petr Nesterov,2,1,1,45.0,0,0.6666666666666666,0.6666666666666666,0,0.5,1511.1680135801662,1511.1680135801662,0.0,,1.0,
