k_overall,k_surface,tau,beta,n,cutoff_date,train_auc,test_auc,train_brier,test_brier,test_acc,thr
32,24,500,1.5,39613,2022-04-18 00:00:00,0.7704155547496538,0.7449843183268123,0.1948064788096409,0.20454606971388578,0.6723463334595482,0.52
22,12,500,1.8,39613,2022-04-18 00:00:00,0.7698630730533286,0.7449805580393989,0.1950052801495714,0.20455754526410438,0.6657831629433295,0.48
24,24,365,1.8,39613,2022-04-18 00:00:00,0.7700768777021756,0.7449753956109161,0.19490209104959647,0.2045658763208712,0.6703268963776348,0.535
24,12,240,2.0,39613,2022-04-18 00:00:00,0.7703484423080416,0.7449650070202654,0.1948066056168676,0.20454952269673157,0.6709579704657327,0.52
22,12,240,2.2,39613,2022-04-18 00:00:00,0.7702410839105833,0.744962107137599,0.19484211086368627,0.20455261838980318,0.6703268963776348,0.535
22,20,500,2.2,39613,2022-04-18 00:00:00,0.7695005208812123,0.7449527701527505,0.19514362498084442,0.20458512518841093,0.6665404518490471,0.485
22,18,500,2.0,39613,2022-04-18 00:00:00,0.7696541597379911,0.744951559212736,0.1950839198281215,0.20457525422842918,0.6738609112709832,0.555
24,14,240,2.0,39613,2022-04-18 00:00:00,0.7703302671005472,0.7449480538600625,0.19481131596520343,0.20455576211579507,0.6707055408304935,0.515
20,12,365,2.2,39613,2022-04-18 00:00:00,0.7696949155396753,0.7449412343557703,0.19505290527515284,0.20457782709430092,0.6709579704657327,0.54
24,20,240,2.0,39613,2022-04-18 00:00:00,0.7702608882348576,0.7449337137809435,0.1948342851107973,0.2045755228737101,0.6707055408304935,0.54
22,14,240,2.2,39613,2022-04-18 00:00:00,0.7702082386857312,0.7449304314961673,0.1948525934901214,0.20456395029614385,0.6710841852833522,0.54
24,16,240,2.0,39613,2022-04-18 00:00:00,0.7703138365217798,0.7449282326840357,0.19481733537750098,0.20456664823936743,0.6704531111952543,0.515
22,24,365,2.0,39613,2022-04-18 00:00:00,0.7697968687746156,0.7449188638323447,0.1950039837144199,0.20458392179447762,0.670579326012874,0.53
24,18,240,2.0,39613,2022-04-18 00:00:00,0.7702883721120684,0.7449094312469686,0.19482457048851334,0.20457687176311465,0.6707055408304935,0.515
22,16,240,2.2,39613,2022-04-18 00:00:00,0.7701782732932302,0.7449078697716868,0.19486433384921042,0.20457626260293651,0.670579326012874,0.54
22,14,500,1.8,39613,2022-04-18 00:00:00,0.7698133511346008,0.7449051610900754,0.19502183339251208,0.20458357387445505,0.6715890445538306,0.54
