match_id,date,p1_name,p2_name,y,diff_avg_rest_days,diff_matches_28d,diff_rolling_10_winrate,diff_rolling_5_winrate,diff_streak,diff_win_rate,diff_peak_elo,diff_current_elo,diff_wr_Clay,diff_wr_Grass,diff_wr_Hard,elo_diff,selo_diff,surface,tourney_level,best_of,round
9,2021-01-04,Mackenzie Mcdonald,Sam Querrey,0,0.0,0.0,0.0,0.0,-2.0,0.0,-24.0,-24.0,0.0,0.0,-0.0454545454545454,0.0,0.0,Hard,A,3,R32
10,2021-01-04,Gianluca Mager,Ryan Harrison,1,0.0,0.0,0.0,0.0,2.0,0.0,12.0,12.0,0.0,0.0,0.0839160839160839,0.0,0.0,Hard,A,3,R32
11,2021-01-04,Christian Harrison,Tomas Martin Etcheverry,1,0.0,0.0,0.0,0.0,2.0,0.0,24.0,24.0,0.0,0.0,0.1168831168831168,0.0,0.0,Hard,A,3,R32
48,2021-01-05,Fabio Fognini,Jeremy Chardy,0,0.0,0.0,0.0,0.0,-3.0,0.0,-12.0,-24.0,0.0,0.0,-0.0714285714285714,0.0,0.0,Hard,A,3,R16
45,2021-01-05,Adrian Andreev,Alex De Minaur,0,0.0,0.0,0.0,0.0,-3.0,0.0,-12.0,-24.0,0.0,0.0,-0.1666666666666666,0.0,0.0,Hard,A,3,R16
46,2021-01-05,Altug Celikbilek,Nikoloz Basilashvili,0,0.0,0.0,0.0,0.0,-3.0,0.0,-12.0,-24.0,0.0,0.0,-0.0384615384615384,0.0,0.0,Hard,A,3,R16
47,2021-01-05,Hugo Grenier,Jan Lennard Struff,0,0.0,0.0,0.0,0.0,-3.0,0.0,-12.0,-24.0,0.0,0.0,-0.0384615384615384,0.0,0.0,Hard,A,3,R16
44,2021-01-05,Emil Ruusuvuori,Stefano Travaglia,0,0.0,0.0,0.0,0.0,-3.0,0.0,-12.0,-24.0,0.0,0.0,-0.0384615384615384,0.0,0.0,Hard,A,3,R16
49,2021-01-05,Alexander Bublik,Tristan Lamasine,1,0.0,0.0,0.0,0.0,3.0,0.0,12.0,12.0,0.0,0.0,0.0999999999999999,0.0,0.0,Hard,A,3,R16
57,2021-01-05,Alex De Minaur,Alexander Bublik,1,0.0,0.0,0.1999999999999999,0.1999999999999999,6.0,0.0,12.0,24.0,0.0,0.0,0.0666666666666666,0.0,0.0,Hard,A,3,F
51,2021-01-05,David Goffin,Stefano Travaglia,1,0.0,0.0,0.3333333333333333,0.3333333333333333,4.0,0.0,12.0,24.0,0.0,0.0,0.0329670329670329,0.0,0.0,Hard,A,3,QF
52,2021-01-05,Alex De Minaur,Nikoloz Basilashvili,1,0.0,0.0,0.3333333333333333,0.3333333333333333,4.0,0.0,12.0,24.0,0.0,0.0,0.1282051282051282,0.0,0.0,Hard,A,3,QF
