player,matches,wins,losses,avg_rest_days,rolling_10_winrate_latest,win_rate,peak_elo,current_elo,last_match_date,days_since_last,surf_matches_Clay,surf_matches_Grass,surf_matches_Hard,surf_matches_Other,wr_Clay,wr_Grass,wr_Hard,wr_Other,current_selo_Clay,current_selo_Grass,current_selo_Hard
Ugo Humbert,271,143,128,7.590405904059041,0.7,0.5277,1781.386655689115,1667.5327016975268,2024-10-28,51,44,45,182,0,0.3182,0.5556,0.5714,,1481.580928833989,1512.6147703302522,1650.9912588348718
Jordan Thompson,301,141,160,9.747508305647841,0.6,0.4684,1688.9700767764039,1667.2829343552914,2024-10-28,51,44,60,197,0,0.3182,0.5167,0.4873,,1481.3192903009178,1524.348580590984,1584.304969545535
Denis Shapovalov,381,209,172,6.942257217847769,0.8,0.5486,1772.4149661308054,1662.9613742501872,2024-11-20,28,69,41,271,0,0.5217,0.4878,0.5646,,1495.238770144094,1516.4193045921509,1569.516352107742
Tallon Griekspoor,190,94,96,9.263157894736842,0.5,0.4947,1700.3593529865736,1659.0400434157275,2024-11-24,24,40,27,123,0,0.45,0.5926,0.4878,,1498.5988652530573,1526.2549850302737,1563.9622729055422
Flavio Cobolli,79,41,38,9.670886075949367,0.6,0.519,1667.7292889331375,1654.025469599212,2024-10-21,58,28,7,44,0,0.5,0.4286,0.5455,,1522.0366351075927,1501.5392495616131,1566.195167555349
Roberto Bautista Agut,691,422,269,6.418234442836469,0.7,0.6107,1816.1894263699644,1647.6871333294137,2024-11-04,44,173,76,442,0,0.5723,0.6842,0.6131,,1509.877260800198,1533.1552958990544,1553.1410931911837
Jakub Mensik,49,28,21,9.122448979591837,0.6,0.5714,1668.4728685710352,1641.2123384401089,2024-12-18,0,10,6,33,0,0.6,0.3333,0.6061,,1522.6454508314573,1493.7949012422803,1554.7471246402604
Francisco Cerundolo,190,101,89,7.41578947368421,0.5,0.5316,1719.5302130331156,1640.178974829658,2024-11-21,27,100,15,75,0,0.59,0.4667,0.4667,,1597.1383372786438,1495.369048806939,1522.6506012327498
Rafael Nadal,748,615,133,5.4505347593582885,0.6,0.8222,2064.1147023903172,1639.2558591470138,2024-11-19,29,319,49,380,0,0.8871,0.7347,0.7789,,1532.0764998456395,1500.0053045642187,1525.024256591083
Brandon Nakashima,176,96,80,7.5852272727272725,0.4,0.5455,1691.7001494595847,1634.1382772453353,2024-11-04,44,23,26,127,0,0.4783,0.5385,0.5591,,1506.2266913573847,1521.9853388093245,1557.2457388360358
Alex Michelsen,79,41,38,6.8354430379746836,0.7,0.519,1636.9619094302448,1626.8846314543641,2024-12-18,0,9,16,54,0,0.3333,0.5625,0.537,,1489.2454079555675,1500.111362026725,1564.28176123146
Matteo Arnaldi,92,48,44,8.25,0.4,0.5217,1671.8483362953953,1621.3905326910026,2024-10-28,51,33,4,55,0,0.5455,0.25,0.5273,,1528.8360904989324,1497.319313747686,1549.726117320625
Giovanni Mpetshi Perricard,34,19,15,9.558823529411764,0.6,0.5588,1620.4703198055204,1618.1411447009314,2024-10-28,51,7,8,19,0,0.7143,0.5,0.5263,,1532.3247710204187,1498.6731532520291,1526.3036503696355
Thanasi Kokkinakis,173,76,97,13.867052023121387,0.6,0.4393,1615.092361552378,1614.5536919325916,2024-11-23,25,25,13,135,0,0.36,0.3846,0.4593,,1495.889899005002,1506.8567675672568,1538.8098737485973
David Goffin,603,349,254,7.266998341625207,0.8,0.5788,1835.0916766320886,1612.388306748707,2024-10-21,58,160,56,387,0,0.5875,0.5357,0.5814,,1493.746859613156,1495.3894996967167,1554.4764656638024
Marcos Giron,223,104,119,8.556053811659194,0.7,0.4664,1630.475556626823,1608.6239042598265,2024-10-28,51,41,31,151,0,0.3902,0.5161,0.4768,,1481.256606095811,1521.8518825111591,1534.7932646866336
Tomas Martin Etcheverry,137,65,72,7.9489051094890515,0.5,0.4745,1639.6725617917598,1604.441273070476,2024-11-04,44,73,8,56,0,0.5479,0.25,0.4107,,1564.9768949302947,1489.6517162272785,1515.4827082253698
Yoshihito Nishioka,285,134,151,10.582456140350876,0.5,0.4702,1677.5272998513535,1602.1980719858352,2024-10-02,77,47,15,223,0,0.4043,0.2667,0.4978,,1503.4804646009609,1502.9323115402672,1545.2033642785723
Yannick Hanfmann,153,74,79,11.633986928104575,0.8,0.4837,1642.9227164344652,1599.1310393383199,2024-09-18,91,96,17,40,0,0.5417,0.4118,0.375,,1507.3381228878075,1495.6275623650868,1518.6171486758135
Emil Ruusuvuori,214,111,103,8.495327102803738,0.5,0.5187,1681.3689853619865,1597.9894873409453,2024-07-29,142,40,23,151,0,0.375,0.4783,0.5629,,1480.9746937831894,1511.2005736340755,1576.6361090950008
Alejandro Davidovich Fokina,233,115,118,7.7296137339055795,0.4,0.4936,1687.1101505122565,1590.1862291017035,2024-10-21,58,80,16,137,0,0.525,0.375,0.4891,,1509.9068461430538,1497.2401051969043,1545.3167587383289
Cameron Norrie,365,209,156,6.668493150684932,0.6,0.5726,1805.1688064977611,1589.3608125699163,2024-11-04,44,99,41,225,0,0.6162,0.5366,0.56,,1544.7257336958685,1508.2135413258754,1561.0101420877263
Miomir Kecmanovic,293,145,148,7.194539249146757,0.5,0.4949,1673.4628942593743,1588.2984326412825,2024-11-04,44,76,32,185,0,0.5132,0.4688,0.4919,,1516.5951019556046,1494.856145414408,1516.4889945816128
Roman Safiullin,107,50,57,11.738317757009346,0.6,0.4673,1658.3094779103737,1585.4354471925512,2024-11-04,44,21,13,73,0,0.4286,0.5385,0.4658,,1488.5909386976568,1506.4049588507635,1531.1784438509649
Alejandro Tabilo,113,58,55,10.070796460176991,0.4,0.5133,1684.318058227425,1581.2462232312087,2024-10-28,51,46,14,53,0,0.5435,0.5714,0.4717,,1521.9287968741953,1540.3845476170488,1513.5345753028603
Roberto Carballes Baena,265,118,147,10.30566037735849,0.5,0.4453,1590.939959094906,1577.2656307531122,2024-11-04,44,170,17,78,0,0.5,0.2353,0.3718,,1529.2903439459647,1496.2603155751974,1486.9877408016287
Zhizhen Zhang,114,55,59,10.263157894736842,0.4,0.4825,1641.5794484128533,1577.0627586149621,2024-10-28,51,36,14,64,0,0.5833,0.4286,0.4375,,1537.6322768857463,1504.9495444056708,1496.8364725723993
Joao Fonseca,20,12,8,16.6,0.7,0.6,1573.8065626662126,1573.8065626662126,2024-12-18,0,11,1,8,0,0.4545,0.0,0.875,,1499.4026547662306,1500.0,1537.0161458502505
Marton Fucsovics,325,161,164,10.855384615384615,0.2,0.4954,1684.9467192405082,1572.5972865245478,2024-11-04,44,91,34,200,0,0.5275,0.4706,0.485,,1519.225614738918,1507.5601855713292,1498.0713725797632
Dominik Koepfer,133,60,73,11.842105263157896,0.4,0.4511,1596.7201823084786,1572.1599919606651,2024-10-14,65,41,15,77,0,0.4634,0.3333,0.4675,,1495.4575933822168,1500.9486609151782,1524.9655659758926
Nuno Borges,89,39,50,10.820224719101123,0.4,0.4382,1599.0919691273366,1571.7111838326553,2024-11-04,44,31,6,52,0,0.5161,0.0,0.4423,,1536.9657634563382,1480.2575227628986,1504.787479620781
Juncheng Shang,62,29,33,12.629032258064516,0.3,0.4677,1656.1267379440512,1570.7322659443828,2024-12-18,0,6,5,51,0,0.1667,0.6,0.4902,,1489.7249687708702,1513.645959944309,1523.3870384741845
Milos Raonic,573,384,189,6.834205933682373,0.6,0.6702,1920.4370763048448,1569.8232923224273,2024-07-29,142,102,81,390,0,0.6373,0.6667,0.6795,,1500.0000001016726,1507.5382547851227,1529.0880992151037
