player,matches,wins,losses,avg_rest_days,rolling_10_winrate_latest,win_rate,peak_elo,current_elo,last_match_date,days_since_last,surf_matches_Clay,surf_matches_Grass,surf_matches_Hard,surf_matches_Other,wr_Clay,wr_Grass,wr_Hard,wr_Other,current_selo_Clay,current_selo_Grass,current_selo_Hard
Kevin Krawietz,4,1,3,37.5,0.3333333333333333,0.25,1510.3111809478178,1500.000000000391,2024-02-02,320,1,2,1,0,0.0,0.5,0.0,,1500.0,1506.9295030326161,1500.0
Hyeon Chung,153,84,69,9.882352941176471,0.5,0.549,1763.9046406658254,1500.0000000003238,2019-10-21,1885,31,3,119,0,0.5484,0.3333,0.5546,,1522.5139401784716,1499.9374619938,1558.6270597853984
Lamine Ouahab,21,11,10,26.0,0.4,0.5238,1530.2614054049475,1500.0000000002992,2020-03-06,1748,18,0,3,0,0.5556,,0.3333,,1501.931203973818,,1500.0000119403098
Jose Hernandez,20,8,12,46.5,0.3,0.4,1521.7038855082694,1500.0000000001407,2020-03-06,1748,11,0,9,0,0.2727,,0.5556,,1499.4937181490518,,1504.1925020864378
Frederik Nielsen,36,20,16,36.30555555555556,0.7,0.5556,1555.6710393023545,1500.000000000118,2020-03-06,1748,4,1,31,0,0.5,0.0,0.5806,,1499.9915881534164,1500.0,1500.628044429004
Tomas Berdych,557,380,177,5.310592459605027,0.4,0.6822,1916.3067886221631,1500.0000000000732,2019-08-26,1941,118,55,384,0,0.661,0.6545,0.6927,,1505.2871952419487,1504.037985911949,1576.4925023650628
Alen Avidzba,2,1,1,15.0,0.5,0.5,1512.0,1500.0000000000257,2019-10-14,1892,0,0,2,0,,,0.5,,,,1507.0
Jerzy Janowicz,185,98,87,10.427027027027027,0.5,0.5297,1688.3446209474705,1500.0000000000225,2020-03-06,1748,34,26,125,0,0.3824,0.6154,0.552,,1499.3210019585563,1521.1873478867885,1500.043051652576
Oriol Roca Batalla,3,1,2,30.0,0.5,0.3333,1510.374695554723,1500.000000000019,2023-05-22,576,3,0,0,0,0.3333,,,,1499.9999999999732,,
Sharmal Dissanayake,9,3,6,36.666666666666664,0.375,0.3333,1500.1565320729035,1500.000000000017,2020-03-06,1748,6,0,3,0,0.3333,,0.3333,,1500.0893760743127,,1492.6940931646343
Marcel Granollers,328,149,179,8.954268292682928,0.5,0.4543,1668.8395323767936,1500.0000000000084,2019-09-16,1920,139,27,162,0,0.4964,0.4444,0.4198,,1503.2600681417796,1525.198690024873,1462.0609020313495
Jirat Navasirisomboon,7,4,3,38.57142857142857,0.6666666666666666,0.5714,1523.2965951512938,1500.0000000000068,2020-03-06,1748,4,0,3,0,0.25,,1.0,,1499.8213382122033,,1513.6506731923857
Duck Hee Lee,3,1,2,30.0,0.5,0.3333,1513.4755931511254,1500.0000000000057,2019-08-19,1948,0,0,3,0,,,0.3333,,,,1507.0550253261122
Jurabek Karimov,3,2,1,50.0,0.5,0.6667,1505.4126489161265,1500.0000000000048,2019-09-13,1923,2,0,1,0,0.5,,1.0,,1499.9990419272517,,1500.0
Marcos Baghdatis,334,171,163,8.45808383233533,0.5,0.512,1687.9887523616405,1500.0000000000043,2019-07-01,1997,41,58,235,0,0.2683,0.5517,0.5447,,1476.5898152163302,1503.7579625555704,1541.863625920171
David Ferrer,552,386,166,5.382246376811594,0.6,0.6993,1935.952558881573,1500.000000000002,2019-05-06,2053,209,39,304,0,0.7416,0.6154,0.6809,,1529.6460133165704,1497.0046638856572,1564.2326175570968
Markus Eriksson,13,5,8,41.61538461538461,0.3,0.3846,1516.100491278425,1500.0000000000018,2019-09-13,1923,5,0,8,0,0.2,,0.5,,1499.8986527776437,,1500.0242608253916
Simone Bolelli,146,63,83,14.267123287671232,0.4,0.4315,1642.4081613816354,1500.0000000000007,2019-05-27,2032,57,21,68,0,0.4561,0.5238,0.3824,,1506.6305560222506,1500.0941728822067,1496.031582942402
Alexandr Dolgopolov,373,198,175,6.911528150134048,0.5,0.5308,1730.1160712844414,1500.0,2018-05-14,2410,107,37,229,0,0.5234,0.5135,0.5371,,1514.8081329870643,1505.1286768524353,1559.6526949448207
Nicolas Almagro,348,213,135,6.485632183908046,0.4,0.6121,1778.0254453891916,1500.0,2018-07-23,2340,209,18,121,0,0.6746,0.5556,0.5124,,1509.5481352018435,1502.2453527112068,1487.6460687412912
Mikhail Youzhny,336,160,176,7.973214285714286,0.2,0.4762,1739.5760917145026,1500.0,2018-09-17,2284,99,46,191,0,0.4343,0.5435,0.4817,,1465.5016709026706,1478.6666205859085,1478.9850728006984
Gilles Muller,290,158,132,8.227586206896552,0.3,0.5448,1795.4116103578035,1500.0,2018-08-27,2305,34,61,195,0,0.4412,0.6393,0.5333,,1489.6151503808326,1521.8967998153712,1522.4863652148924
Juan Monaco,283,156,127,7.07773851590106,0.4,0.5512,1746.3528938824254,1500.0,2017-04-10,2809,168,15,100,0,0.6012,0.4667,0.48,,1528.5481205839008,1504.757932636342,1507.4551312811636
Florian Mayer,271,132,139,8.431734317343173,0.2,0.4871,1665.3894830754289,1500.0,2018-08-27,2305,102,41,128,0,0.4902,0.5854,0.4531,,1464.523929824722,1498.9911549615663,1453.78544794088
Julien Benneteau,267,130,137,9.258426966292134,0.4,0.4869,1665.0758423627872,1500.0,2018-08-27,2305,41,39,187,0,0.3415,0.4872,0.5187,,1486.0425638999245,1499.4433392280378,1528.3220752990983
Jarkko Nieminen,246,122,124,7.605691056910569,0.4,0.4959,1658.4801059476283,1500.0,2016-07-15,3078,65,25,156,0,0.4923,0.36,0.5192,,1500.189485573713,1493.4113404579027,1508.8824835462142
Ivan Dodig,238,108,130,8.899159663865547,0.3,0.4538,1679.4515197460419,1500.0,2017-07-17,2711,61,29,148,0,0.4262,0.5517,0.4459,,1522.6728778548677,1493.3671517273954,1454.967687129066
Radek Stepanek,216,108,108,8.99074074074074,0.5,0.5,1661.9844965908576,1500.0,2017-01-16,2893,52,32,132,0,0.4038,0.5625,0.5227,,1505.9441162352207,1505.1690879707364,1529.5830473934634
Jurgen Melzer,211,98,113,9.189573459715639,0.5,0.4645,1594.233463506388,1500.0,2018-10-22,2249,66,22,123,0,0.4091,0.5455,0.4797,,1510.928041565977,1509.1621481046304,1511.7243057662022
Tommy Haas,194,107,87,7.953608247422681,0.3,0.5515,1776.7484849210591,1500.0,2017-07-31,2697,60,28,106,0,0.5833,0.5357,0.5377,,1481.5417449104266,1500.4034184765683,1483.417154343976
Benjamin Becker,180,69,111,11.0,0.1,0.3833,1597.6202669833092,1500.0,2017-03-20,2830,23,30,127,0,0.2174,0.5,0.3858,,1484.3080508506664,1497.8928401089968,1466.8252296028977
Daniel Gimeno Traver,175,61,114,11.68,0.4,0.3486,1566.0594207786612,1500.0,2018-04-30,2424,115,13,47,0,0.4261,0.0769,0.234,,1498.6662785516392,1475.4008847549794,1442.5371088425784
Edouard Roger-Vasselin,172,72,100,10.883720930232558,0.4,0.4186,1612.440010299952,1500.0,2016-06-27,3096,41,28,103,0,0.3659,0.5,0.4175,,1488.4355003950402,1507.5852125152014,1488.410010503681
Horacio Zeballos,170,70,100,12.282352941176471,0.4,0.4118,1602.3456576118924,1500.0,2018-09-14,2287,106,9,55,0,0.4528,0.1111,0.3818,,1497.52713931468,1491.6072214620706,1491.7688126650876
Albert Montanes,168,75,93,10.744047619047619,0.4,0.4464,1576.8424119206254,1500.0,2017-04-24,2795,134,4,30,0,0.5149,0.0,0.2,,1514.2728622106106,1499.9987903845017,1486.3044820772773
Nikolay Davydenko,162,78,84,7.580246913580247,0.3,0.4815,1630.6335058816712,1500.0,2014-05-26,3859,46,4,112,0,0.413,0.25,0.5179,,1475.4364910788602,1490.928428760089,1540.3800147574932
Teymuraz Gabashvili,162,62,100,10.808641975308642,0.2,0.3827,1592.476292103091,1500.0,2017-10-16,2620,56,13,93,0,0.4107,0.3077,0.3763,,1490.4278768539903,1489.483810262555,1484.7767733748926
Marinko Matosevic,155,63,92,10.083870967741936,0.0,0.4065,1621.2130148635158,1500.0,2015-08-03,3425,27,20,108,0,0.2963,0.4,0.4352,,1465.3020640673815,1495.9958177429367,1497.8131445051665
Alejandro Falla,153,58,95,11.856209150326798,0.3,0.3791,1538.3851150614023,1500.0,2017-02-06,2872,37,21,95,0,0.3243,0.4286,0.3895,,1497.6908892004863,1501.7197829047514,1468.679638239687
Dmitry Tursunov,153,70,83,10.411764705882353,0.1,0.4575,1628.7722147303477,1500.0,2017-08-28,2669,32,20,101,0,0.4062,0.4,0.4851,,1496.6761766956217,1497.3136899111823,1490.4893637629427
Paul Henri Mathieu,151,57,94,13.013245033112582,0.1,0.3775,1578.2809523805142,1500.0,2017-09-18,2648,63,16,72,0,0.4444,0.25,0.3472,,1494.2546331401468,1495.5958999522936,1461.194320968056
Tobias Kamke,149,56,93,13.0,0.5,0.3758,1522.5389024833091,1500.0,2019-08-26,1941,39,20,90,0,0.359,0.45,0.3667,,1496.797639522398,1506.7227735094375,1499.9852232142032
Lleyton Hewitt,143,74,69,10.902097902097902,0.4,0.5175,1677.5355833548415,1500.0,2016-01-18,3257,14,45,84,0,0.1429,0.6222,0.5238,,1480.9251582440882,1509.5315459182393,1519.4388212703032
Lukasz Kubot,136,57,79,10.573529411764707,0.4,0.4191,1563.599109433963,1500.0,2015-10-11,3356,46,21,69,0,0.4348,0.5714,0.3623,,1475.766005894668,1511.9651618827827,1474.1584752199592
Victor Hanescu,134,52,82,9.805970149253731,0.3,0.3881,1546.8999136434604,1500.0,2015-03-12,3569,78,8,48,0,0.5,0.125,0.25,,1531.8245323129047,1486.9222480132373,1460.94979508252
Igor Sijsling,130,47,83,11.646153846153846,0.4,0.3615,1586.012526101777,1500.0,2016-08-01,3061,31,21,78,0,0.3226,0.4286,0.359,,1481.0465882683773,1495.9552304443114,1491.2948536293611
Victor Estrella,128,60,68,13.6953125,0.1,0.4688,1609.4518534058868,1500.0,2018-07-16,2347,56,17,55,0,0.5893,0.2353,0.4182,,1507.006455790216,1490.644964665767,1464.6341840190812
Xavier Malisse,127,58,69,7.677165354330708,0.4,0.4567,1578.9495245883627,1500.0,2013-08-26,4132,22,29,76,0,0.3182,0.6897,0.4079,,1466.554300761461,1531.5169178855035,1468.9143650939259
Alex Bogomolov Jr,117,49,68,9.188034188034187,0.3,0.4188,1592.539100045617,1500.0,2014-04-07,3908,10,18,89,0,0.1,0.4444,0.4494,,1496.8174672615528,1493.7121229153063,1474.4012933923402
Mardy Fish,116,70,46,7.913793103448276,0.4,0.6034,1716.0196084189272,1500.0,2015-08-31,3397,13,9,94,0,0.5385,0.7778,0.5957,,1511.508808670336,1527.3581620259563,1503.460790692284
Jared Donaldson,113,48,65,10.451327433628318,0.4,0.4248,1633.266337803766,1500.0,2019-03-04,2116,15,14,84,0,0.2667,0.4286,0.4524,,1477.4704049422373,1500.4569026156173,1506.2204619487557
Andreas Haider Maurer,111,39,72,15.567567567567568,0.0,0.3514,1565.567762604872,1500.0,2018-05-28,2396,58,14,39,0,0.3793,0.2857,0.3333,,1463.5141533474693,1499.613026326209,1481.3063842828622
Daniel Brands,106,42,64,16.68867924528302,0.2,0.3962,1585.4841190823238,1500.0,2019-02-04,2144,34,9,63,0,0.3824,0.2222,0.4286,,1489.7714546186658,1497.380799060739,1508.107618430794
Michael Llodra,103,46,57,12.20388349514563,0.4,0.4466,1598.0165759508045,1500.0,2014-08-25,3768,18,15,70,0,0.3333,0.5333,0.4571,,1497.2974492261746,1504.2335560179583,1507.809380168195
Andrey Golubev,100,29,71,13.38,0.3,0.29,1518.9012964521735,1500.0,2015-09-21,3376,40,4,56,0,0.225,0.0,0.3571,,1478.4978341830217,1493.089773695487,1466.2860879836683
Filippo Volandri,99,30,69,13.575757575757576,0.0,0.303,1501.2694903848633,1500.0,2016-07-18,3075,78,5,16,0,0.3718,0.2,0.0,,1492.4620097744676,1499.822345415724,1447.257072774278
Michael Berrer,98,37,61,16.908163265306122,0.2,0.3776,1539.6289695381035,1500.0,2016-10-17,2984,21,10,67,0,0.3333,0.3,0.403,,1475.0546235933064,1500.8676944989827,1491.6870539531164
Somdev Devvarman,96,42,54,14.0,0.4,0.4375,1564.3709015946174,1500.0,2016-01-04,3271,15,8,73,0,0.3333,0.25,0.4795,,1485.6339595037064,1492.7758857397027,1505.6498126064203
Sam Groth,95,36,59,13.126315789473685,0.2,0.3789,1593.4298646118057,1500.0,2017-07-17,2711,5,24,66,0,0.2,0.5417,0.3333,,1495.6780391817415,1507.9192535401908,1443.8422299036422
Rajeev Ram,94,37,57,15.563829787234043,0.4,0.3936,1553.1436285886073,1500.0,2017-07-17,2711,9,22,63,0,0.4444,0.5455,0.3333,,1499.037016155234,1497.9242857010793,1478.4835764269342
Rogerio Dutra Silva,93,30,63,19.731182795698924,0.3,0.3226,1525.7507657975013,1500.0,2019-02-11,2137,60,5,28,0,0.3667,0.0,0.2857,,1466.5176882053886,1490.428082868525,1465.5292234545918
Michael Russell,92,36,56,12.945652173913043,0.3,0.3913,1541.0803286741987,1500.0,2015-01-19,3621,13,16,63,0,0.3077,0.375,0.4127,,1493.1545630204375,1493.168324719974,1482.6947933995054
Andy Roddick,89,57,32,6.98876404494382,0.7,0.6404,1676.8810622802187,1500.0,2012-08-27,4496,8,18,63,0,0.25,0.7222,0.6667,,1480.81040344765,1547.2743809559552,1596.1436806788263
Kenny De Schepper,88,27,61,20.318181818181817,0.5,0.3068,1500.0,1500.0,2018-09-17,2284,26,21,41,0,0.2308,0.4286,0.2927,,1493.7634554694762,1498.3232126286418,1495.3013101411836
Philipp Petzschner,85,39,46,12.011764705882353,0.4,0.4588,1587.2210400494714,1500.0,2014-09-22,3740,15,17,53,0,0.4,0.5882,0.434,,1496.8932435127217,1508.0752373797093,1500.8776572388924
David Nalbandian,84,49,35,7.726190476190476,0.6,0.5833,1663.2257015540235,1500.0,2013-03-20,4291,31,14,39,0,0.5806,0.6429,0.5641,,1534.7844375904072,1524.688875699506,1525.678422054845
Potito Starace,81,34,47,9.296296296296296,0.3,0.4198,1546.2729595188803,1500.0,2014-05-26,3859,56,4,21,0,0.4821,0.0,0.3333,,1498.964190369516,1487.713572001728,1467.336451764521
James Blake,79,36,43,10.10126582278481,0.4,0.4557,1581.6253641253982,1500.0,2013-08-26,4132,7,6,66,0,0.1429,0.1667,0.5152,,1484.050520759655,1489.569342147522,1513.6795462736468
Igor Andreev,75,29,46,9.36,0.2,0.3867,1514.0983573133399,1500.0,2013-06-24,4195,41,7,27,0,0.3902,0.4286,0.3704,,1468.0148004569326,1499.9707502627637,1476.7126050522968
Joao Souza,72,24,48,16.76388888888889,0.2,0.3333,1517.307474834594,1500.0,2017-02-27,2851,63,1,8,0,0.3651,0.0,0.125,,1473.886727140719,1500.0,1487.772048726933
Juan Ignacio Chela,71,35,36,7.774647887323944,0.2,0.493,1597.8798435573156,1500.0,2012-06-25,4559,48,3,20,0,0.5833,0.3333,0.3,,1525.6645017169858,1500.002884350613,1464.1051191900415
Grega Zemlja,70,29,41,18.385714285714286,0.3,0.4143,1563.852968338796,1500.0,2017-04-07,2812,17,12,41,0,0.4118,0.5,0.3902,,1506.96089089412,1510.9531795173148,1506.4086263753065
Olivier Rochus,69,25,44,11.72463768115942,0.2,0.3623,1548.7156958810986,1500.0,2013-06-24,4195,14,18,37,0,0.1429,0.5,0.3784,,1470.250306621255,1495.9150070721403,1478.1868418136671
Flavio Cipolla,68,24,44,12.764705882352942,0.2,0.3529,1509.069185605806,1500.0,2013-07-08,4181,20,6,42,0,0.35,0.1667,0.381,,1485.2428384504537,1494.5028586382325,1464.935053866366
Igor Kunitsyn,65,21,44,10.76923076923077,0.1,0.3231,1518.7621948568483,1500.0,2013-02-25,4314,9,13,43,0,0.2222,0.3846,0.3256,,1476.2714372036996,1481.5799887668911,1448.9487725907604
Michal Przysiezny,62,17,45,15.387096774193548,0.3,0.2742,1535.2260703877002,1500.0,2018-04-07,2447,8,9,45,0,0.125,0.3333,0.2889,,1470.473621168156,1499.6979691611757,1499.524239471777
Pere Riba,60,15,45,17.616666666666667,0.2,0.25,1500.0,1500.0,2016-02-01,3243,39,3,18,0,0.3077,0.0,0.1667,,1496.5444594200194,1499.9983839124332,1483.143162151593
Jurgen Zopp,57,21,36,25.017543859649123,0.5,0.3684,1543.705831112851,1500.0,2018-10-15,2256,23,3,31,0,0.4348,0.0,0.3548,,1515.384968743951,1496.5041282510592,1491.4624638876735
Adrian Ungur,55,15,40,25.272727272727273,0.3,0.2727,1504.9882146473376,1500.0,2018-09-15,2286,32,4,19,0,0.25,0.0,0.3684,,1492.7974978381544,1491.1599391551501,1498.0881935025716
Frederico Gil,54,23,31,11.074074074074074,0.5,0.4259,1518.1109133012296,1500.0,2013-04-05,4275,31,3,20,0,0.4839,0.0,0.4,,1495.2390987722792,1494.6238801386646,1480.417920226888
Ryan Sweeting,54,23,31,11.166666666666666,0.5,0.4259,1551.1301112467563,1500.0,2013-02-11,4328,9,9,36,0,0.7778,0.3333,0.3611,,1525.4441301485479,1492.23108301832,1482.3806819771573
Ivan Ljubicic,53,28,25,8.81132075471698,0.4,0.5283,1605.7813668955946,1500.0,2012-04-15,4630,13,5,35,0,0.5385,0.6,0.5143,,1508.0967515331704,1513.8645696311592,1510.9499427263274
Frank Dancevic,52,16,36,26.26923076923077,0.6,0.3077,1504.4788421201263,1500.0,2017-07-17,2711,7,12,33,0,0.0,0.4167,0.3333,,1484.7114046579459,1509.329016036505,1484.608366003014
Marco Chiudinelli,50,14,36,27.6,0.3,0.28,1512.0,1500.0,2017-10-23,2613,7,7,36,0,0.0,0.4286,0.3056,,1494.1397204019308,1502.62874896603,1500.101135166056
Jan Hajek,49,14,35,16.693877551020407,0.3,0.2857,1506.473351971338,1500.0,2014-02-17,3957,25,2,22,0,0.48,0.0,0.0909,,1506.4434449114428,1499.896171910246,1450.2972976258595
Inigo Cervantes Huegun,48,17,31,14.3125,0.3,0.3542,1524.746904572246,1500.0,2017-02-27,2851,32,4,12,0,0.375,0.25,0.3333,,1483.1065136274353,1492.9317356228914,1481.8266529260372
Juan Carlos Ferrero,48,25,23,10.729166666666666,0.4,0.5208,1622.1954607224188,1500.0,2012-10-21,4441,28,1,19,0,0.5714,0.0,0.4737,,1516.7673108587749,1500.0,1502.6112533926375
Robin Soderling,47,38,9,4.680851063829787,0.8,0.8085,1705.280499304021,1500.0,2011-07-11,4909,21,3,23,0,0.7619,0.6667,0.8696,,1567.7306284032225,1514.4138161430642,1607.3027925072256
Ruben Ramirez Hidalgo,46,10,36,16.82608695652174,0.2,0.2174,1500.0,1500.0,2014-04-07,3908,31,4,11,0,0.2258,0.0,0.2727,,1461.778422914134,1483.4656911103707,1491.4076881957549
Rui Machado,45,13,32,25.333333333333332,0.6,0.2889,1507.1949908908175,1500.0,2015-09-18,3379,31,1,13,0,0.3226,0.0,0.2308,,1489.3439307911876,1500.0,1503.2165971628767
Brian Baker,44,16,28,14.0,0.2,0.3636,1578.738072856648,1500.0,2016-08-29,3033,9,8,27,0,0.5556,0.5,0.2593,,1493.0219125855247,1493.9886592002736,1481.1898099180241
Bjorn Phau,43,14,29,16.162790697674417,0.5,0.3256,1524.0,1500.0,2014-02-10,3964,11,3,29,0,0.3636,0.3333,0.3103,,1497.3855670203427,1500.0493489711534,1498.2178142727666
Jesse Levine,43,13,30,15.093023255813954,0.2,0.3023,1500.0,1500.0,2013-08-05,4153,5,8,30,0,0.2,0.375,0.3,,1486.739338992528,1493.6268269340264,1465.808609473287
Maximo Gonzalez,41,10,31,23.70731707317073,0.3,0.2439,1536.4670709365948,1500.0,2017-04-10,2809,32,2,7,0,0.2812,0.0,0.1429,,1489.6028446184773,1492.862453464332,1489.175969487341
Julian Reister,36,9,27,18.25,0.2,0.25,1510.0621106897638,1500.0,2015-07-27,3432,26,7,3,0,0.2692,0.2857,0.0,,1482.2425953546058,1506.768358612505,1489.1771489648027
Austin Krajicek,35,12,23,17.0,0.2,0.3429,1528.0905798441934,1500.0,2017-07-17,2711,2,5,28,0,0.0,0.2,0.3929,,1497.345135018108,1496.50371247872,1487.2009366549182
Guillaume Rufin,35,12,23,17.2,0.3,0.3429,1521.85535840187,1500.0,2013-08-26,4132,15,6,14,0,0.2667,0.3333,0.4286,,1478.589210328482,1493.6291986588565,1504.4141139408994
Florent Serra,34,9,25,23.176470588235293,0.2,0.2647,1500.0,1500.0,2014-09-15,3747,7,4,23,0,0.2857,0.25,0.2609,,1497.6498787189053,1502.1225261558343,1489.7698891701375
Konstantin Kravchuk,33,8,25,31.242424242424242,0.2,0.2424,1514.7318758175447,1500.0,2017-10-16,2620,4,5,24,0,0.5,0.2,0.2083,,1507.6990099496165,1506.6237090563823,1438.1037145402236
Ricardo Mello,33,10,23,16.636363636363637,0.2,0.303,1527.2524763604133,1500.0,2013-02-11,4328,15,3,15,0,0.4,0.3333,0.2,,1493.1834468946367,1500.1443084743173,1473.0757047418779
Daniel Munoz de la Nava,32,8,24,21.78125,0.2,0.25,1519.4460569421008,1500.0,2016-07-18,3075,22,0,10,0,0.2273,,0.3,,1457.2258292009549,,1495.606808470288
Aleksandr Nedovyesov,31,6,25,24.870967741935484,0.1,0.1935,1500.0,1500.0,2017-04-07,2812,10,5,16,0,0.2,0.2,0.1875,,1499.5285100798842,1496.4421726177554,1479.8152378336013
Vincent Millot,28,8,20,31.535714285714285,0.4,0.2857,1511.186924789563,1500.0,2018-07-30,2333,3,1,24,0,0.0,0.0,0.3333,,1486.1487497728149,1500.0,1495.6202900306434
Robby Ginepri,27,9,18,19.22222222222222,0.3,0.3333,1510.8543741792519,1500.0,2014-08-17,3776,5,1,21,0,0.4,0.0,0.3333,,1496.4449781483052,1500.0,1496.5427633854677
Jesse Huta Galung,26,6,20,32.57692307692308,0.1,0.2308,1512.741675988126,1500.0,2015-09-18,3379,4,5,17,0,0.25,0.4,0.1765,,1499.9786747361004,1504.4100496209053,1486.5643276925873
Jimmy Wang,26,10,16,27.46153846153846,0.4,0.3846,1512.3323707810082,1500.0,2015-09-18,3379,2,10,14,0,0.0,0.4,0.4286,,1493.0,1504.1843430102128,1492.925089614025
Paul Capdeville,26,7,19,25.26923076923077,0.3,0.2692,1500.0,1500.0,2013-09-13,4114,14,1,11,0,0.2857,0.0,0.2727,,1485.546534959191,1500.0,1491.3987091963015
Antonio Veic,25,7,18,25.32,0.2,0.28,1516.1345492508585,1500.0,2015-02-02,3607,17,0,8,0,0.2941,,0.25,,1474.9340896928093,,1499.777167813861
Jan Hernych,25,13,12,22.08,0.5,0.52,1550.4654298175474,1500.0,2016-06-20,3103,4,16,5,0,0.5,0.5625,0.4,,1503.2314666731413,1503.4866484219845,1499.9257970775623
Karol Beck,25,6,19,21.04,0.2,0.24,1504.624879582619,1500.0,2012-08-27,4496,2,5,18,0,0.0,0.4,0.2222,,1493.2334763339034,1499.8859207644307,1463.8632115661062
Rhyne Williams,25,7,18,23.12,0.2,0.28,1503.098583777689,1500.0,2015-01-04,3636,6,2,17,0,0.5,0.0,0.2353,,1503.4229421267926,1493.0774923788983,1486.2628383767362
Franko Skugor,24,5,19,35.416666666666664,0.2,0.2083,1509.5967146491173,1500.0,2019-02-11,2137,9,3,12,0,0.1111,0.0,0.3333,,1492.1670469529665,1496.1610679074256,1500.4792574487376
Amir Weintraub,23,10,13,31.043478260869566,0.4,0.4348,1527.9031572262606,1500.0,2019-08-19,1948,5,1,17,0,0.6,0.0,0.4118,,1493.4151199807452,1500.0,1499.9991620739604
Luca Vanni,23,5,18,26.91304347826087,0.1,0.2174,1517.4562748141632,1500.0,2019-01-14,2165,12,1,10,0,0.3333,0.0,0.1,,1495.7426405943677,1500.0,1494.4937894630252
Alex Kuznetsov,22,5,17,25.545454545454547,0.2,0.2273,1500.0,1500.0,2016-07-18,3075,1,6,15,0,0.0,0.1667,0.2667,,1500.0,1499.715651039186,1499.5834362101202
Arnaud Clement,22,8,14,17.545454545454547,0.4,0.3636,1501.6525127758139,1500.0,2012-05-27,4588,4,6,12,0,0.5,0.3333,0.3333,,1506.3698326756908,1493.1841729253724,1489.518687164174
Rik De Voest,22,8,14,28.227272727272727,0.3,0.3636,1523.2163123369405,1500.0,2014-04-04,3911,2,2,18,0,0.0,0.5,0.3889,,1493.0,1507.0,1501.8116160103568
Wayne Odesnik,21,6,15,27.38095238095238,0.2,0.2857,1510.4678778004788,1500.0,2014-08-25,3768,10,3,8,0,0.5,0.0,0.125,,1508.8944791291567,1496.651771705364,1482.069868753101
Bobby Reynolds,20,6,14,30.45,0.3,0.3,1500.9494973048754,1500.0,2013-08-18,4140,4,4,12,0,0.5,0.25,0.25,,1507.4706363197206,1496.7722613905837,1482.7671659087848
Mauricio Echazu,20,12,8,40.5,0.6,0.6,1539.2471287037135,1500.0,2018-02-03,2510,18,0,2,0,0.6111,,0.5,,1502.5444467541265,,1500.0
Andreas Beck,19,2,17,34.94736842105263,0.0,0.1053,1500.0,1500.0,2016-05-16,3138,9,1,9,0,0.0,0.0,0.2222,,1499.5916847191158,1500.0,1493.596403121942
Danai Udomchoke,19,12,7,31.105263157894736,0.6,0.6316,1553.8457537265488,1500.0,2015-03-06,3575,3,0,16,0,0.6667,,0.625,,1509.07506403265,,1504.8196006753958
Eduardo Schwank,19,8,11,15.105263157894736,0.5,0.4211,1510.9557799726663,1500.0,2012-07-09,4545,16,0,3,0,0.4375,,0.3333,,1502.5055783640803,,1500.1510978016463
Dzmitry Zhyrmont,18,7,11,31.444444444444443,0.4,0.3889,1522.078123193806,1500.0,2018-02-02,2511,4,0,14,0,0.0,,0.5,,1499.9999937190391,,1500.1057500993275
Farrukh Dustov,18,6,12,46.72222222222222,0.1,0.3333,1518.7274006285227,1500.0,2016-07-15,3078,10,3,5,0,0.4,0.0,0.4,,1483.7171346949274,1486.852106350784,1499.9030216582944
Kittipong Wachiramanowong,18,8,10,28.666666666666668,0.4,0.4444,1534.1090223503438,1500.0,2017-09-15,2651,2,2,14,0,0.5,0.0,0.5,,1500.0,1492.9999999992874,1520.1820117250136
Rainer Schuettler,18,5,13,11.0,0.4,0.2778,1500.0,1500.0,2011-06-20,4930,3,6,9,0,0.0,0.5,0.2222,,1486.237874568599,1506.8674484625867,1468.527228673662
Christian Lindell,17,5,12,35.0,0.3,0.2941,1511.907755014224,1500.0,2017-04-07,2812,14,0,3,0,0.3571,,0.0,,1502.3342687686998,,1486.9610153748022
Daniel Garza,17,8,9,27.705882352941178,0.5,0.4706,1515.432745489796,1500.0,2015-03-06,3575,11,0,6,0,0.3636,,0.6667,,1493.5967396251474,,1501.6174171722555
Duilio Beretta,17,8,9,37.05882352941177,0.3,0.4706,1533.7310297181793,1500.0,2018-02-03,2510,15,0,2,0,0.4667,,0.5,,1499.9913628115487,,1507.0
Facundo Arguello,17,1,16,37.705882352941174,0.1,0.0588,1500.0,1500.0,2019-07-15,1983,14,1,2,0,0.0714,0.0,0.0,,1499.9997286697212,1500.0,1497.450722684379
Martin Alund,17,7,10,14.764705882352942,0.4,0.4118,1528.8029192731135,1500.0,2014-02-10,3964,16,1,0,0,0.4375,0.0,,,1502.1641212615693,1500.0,
Sergei Bubka,17,5,12,29.058823529411764,0.2,0.2941,1513.1192878660856,1500.0,2012-09-14,4478,1,1,15,0,0.0,0.0,0.3333,,1500.0,1500.0,1480.8592085278924
Christopher Diaz Figueroa,16,10,6,28.125,0.6,0.625,1543.9384044397152,1500.0,2018-02-03,2510,2,0,14,0,0.5,,0.6429,,1506.7279185202403,,1507.2349935851312
Denis Gremelmayr,16,5,11,17.25,0.3,0.3125,1500.0,1500.0,2012-01-02,4734,3,6,7,0,0.3333,0.3333,0.2857,,1499.9890744703553,1493.1471194638175,1493.2635653766795
