player,matches,wins,losses,avg_rest_days,matches_28d_latest,rolling_10_winrate_latest,rolling_5_winrate_latest,streak_latest,last_match_date,win_rate,peak_elo,current_elo,current_selo_Clay,current_selo_Grass,current_selo_Hard,wr_Clay,wr_Grass,wr_Hard,Other_x,surf_matches_Clay,surf_matches_Grass,surf_matches_Hard,Other_y,days_since_last
Felix Auger Aliassime,364,216,148,6.252747252747253,5,0.5,0.4,-1,2024-10-21,0.5934,1833.817136314372,1660.0097210638128,1568.5806363654974,1493.3116808873826,1567.3018153216005,0.5556,0.6389,0.6008,,90.0,36.0,238.0,0.0,58
Alexei Popyrin,206,94,112,9.762135922330097,5,0.5,0.6,0,2024-10-28,0.4563,1684.211674469346,1658.4021464115094,1492.9074322435756,1493.055042148984,1579.223851774639,0.4545,0.3,0.4789,,44.0,20.0,142.0,0.0,51
Arthur Fils,109,63,46,6.91743119266055,2,0.5,0.4,0,2024-12-18,0.578,1704.49625256009,1657.026261620928,1535.729801197104,1501.4607128651735,1564.3263034788479,0.5758,0.5455,0.5846,,33.0,11.0,65.0,0.0,0
Gael Monfils,601,380,221,7.392678868552412,6,0.6,0.8,-1,2024-10-21,0.6323,1844.9881717609844,1654.8388285577128,1485.2876388148643,1524.2471796566397,1587.557511890063,0.5676,0.5926,0.6617,,148.0,54.0,399.0,0.0,58
Jordan Thompson,301,141,160,9.747508305647841,4,0.6,0.6,-1,2024-10-28,0.4684,1678.6752413900526,1654.7479763000183,1485.964166225418,1515.3639722302717,1581.349535011123,0.3182,0.5167,0.4873,,44.0,60.0,197.0,0.0,51
Ugo Humbert,271,143,128,7.590405904059041,9,0.7,1.0,-1,2024-10-28,0.5277,1767.8449543103602,1653.3634830101971,1476.5778453762568,1492.3344183512922,1615.8787784198926,0.3182,0.5556,0.5714,,44.0,45.0,182.0,0.0,51
Denis Shapovalov,381,209,172,6.942257217847769,5,0.8,1.0,-1,2024-11-20,0.5486,1754.6285175701855,1651.309008855229,1507.7790115393532,1514.5469015201807,1572.1930962531274,0.5217,0.4878,0.5646,,69.0,41.0,271.0,0.0,28
Tallon Griekspoor,190,94,96,9.263157894736842,4,0.5,0.4,-1,2024-11-24,0.4947,1687.2841282681727,1645.3647588508636,1499.5510005233243,1522.8081071059532,1564.6411314288216,0.45,0.5926,0.4878,,40.0,27.0,123.0,0.0,24
Flavio Cobolli,79,41,38,9.670886075949367,6,0.6,0.6,-1,2024-10-21,0.519,1657.3231400334023,1642.3162303428774,1513.918881691291,1501.555845088709,1561.9333136621963,0.5,0.4286,0.5455,,28.0,7.0,44.0,0.0,58
Roberto Bautista Agut,691,422,269,6.418234442836469,7,0.7,0.8,-1,2024-11-04,0.6107,1803.9885089119575,1635.021654617618,1507.2865314897829,1511.3225085952652,1550.6856675890635,0.5723,0.6842,0.6131,,173.0,76.0,442.0,0.0,44
Jakub Mensik,49,28,21,9.122448979591837,2,0.6,0.4,-1,2024-12-18,0.5714,1658.8875693268583,1630.1755031875598,1521.3784410450448,1494.3759197322117,1566.5199686372086,0.6,0.3333,0.6061,,10.0,6.0,33.0,0.0,0
Francisco Cerundolo,190,101,89,7.41578947368421,5,0.5,0.6,1,2024-11-21,0.5316,1708.8627845123096,1628.5157086543024,1581.9592408057447,1495.8759760699647,1523.710846675825,0.59,0.4667,0.4667,,100.0,15.0,75.0,0.0,27
Rafael Nadal,748,615,133,5.4505347593582885,0,0.6,0.6,-1,2024-11-19,0.8222,2045.1594295134835,1623.1279429347692,1531.29317590825,1500.2411975002965,1522.8711213763897,0.8871,0.7347,0.7789,,319.0,49.0,380.0,0.0,29
Brandon Nakashima,176,96,80,7.5852272727272725,4,0.4,0.2,-1,2024-11-04,0.5455,1681.4018993533148,1622.3168066182907,1499.2288821125617,1520.180503051177,1556.017390897615,0.4783,0.5385,0.5591,,23.0,26.0,127.0,0.0,44
Alex Michelsen,79,41,38,6.8354430379746836,3,0.7,0.8,-1,2024-12-18,0.519,1628.8825391584178,1618.8110264611896,1491.6704781772237,1513.3717189901845,1564.261634525776,0.3333,0.5625,0.537,,9.0,16.0,54.0,0.0,0
Giovanni Mpetshi Perricard,34,19,15,9.558823529411764,8,0.6,1.0,-1,2024-10-28,0.5588,1613.671804137173,1610.429282976309,1525.9356567400089,1498.9862289983134,1529.1917678476036,0.7143,0.5,0.5263,,7.0,8.0,19.0,0.0,51
Matteo Arnaldi,92,48,44,8.25,3,0.4,0.4,-1,2024-10-28,0.5217,1661.7107875489955,1609.494066298749,1519.340810788655,1497.6576388974777,1550.8355238551078,0.5455,0.25,0.5273,,33.0,4.0,55.0,0.0,51
David Goffin,603,349,254,7.266998341625207,7,0.8,0.8,0,2024-10-21,0.5788,1817.4250900315444,1602.3129666993586,1488.376165826743,1495.949752764668,1549.5013636305914,0.5875,0.5357,0.5814,,160.0,56.0,387.0,0.0,58
Thanasi Kokkinakis,173,76,97,13.867052023121387,1,0.6,0.6,0,2024-11-23,0.4393,1605.5417383724716,1601.8980680901377,1485.1378108735923,1506.0705010171034,1540.5380051757334,0.36,0.3846,0.4593,,25.0,13.0,135.0,0.0,25
Marcos Giron,223,104,119,8.556053811659194,10,0.7,0.6,-1,2024-10-28,0.4664,1620.6211573981764,1597.2542998268452,1482.9829952248438,1507.6549742782786,1526.6283052012884,0.3902,0.5161,0.4768,,41.0,31.0,151.0,0.0,51
Tomas Martin Etcheverry,137,65,72,7.9489051094890515,6,0.5,0.4,-1,2024-11-04,0.4745,1631.086646989097,1593.7339152391182,1559.1979355963474,1484.4778143835158,1511.0726894508853,0.5479,0.25,0.4107,,73.0,8.0,56.0,0.0,44
Yoshihito Nishioka,285,134,151,10.582456140350876,6,0.5,0.6,-1,2024-10-02,0.4702,1664.2382066311666,1591.0324002242812,1502.6305157918946,1502.6678958847683,1543.3521795878844,0.4043,0.2667,0.4978,,47.0,15.0,223.0,0.0,77
Yannick Hanfmann,153,74,79,11.633986928104575,5,0.8,1.0,-1,2024-09-18,0.4837,1635.6715556759054,1589.7119632328406,1516.100346829745,1496.014626358208,1522.092702574338,0.5417,0.4118,0.375,,96.0,17.0,40.0,0.0,91
Emil Ruusuvuori,214,111,103,8.495327102803738,4,0.5,0.6,0,2024-07-29,0.5187,1668.9759900125734,1584.261835019169,1485.4265287975247,1509.987173564584,1562.5847106439144,0.375,0.4783,0.5629,,40.0,23.0,151.0,0.0,142
Alejandro Davidovich Fokina,233,115,118,7.7296137339055795,6,0.4,0.4,-1,2024-10-21,0.4936,1674.9532851751233,1577.8707129057102,1501.394465066905,1497.7201567462723,1542.9905005073506,0.525,0.375,0.4891,,80.0,16.0,137.0,0.0,58
