feature,importance
diff_wr_surface_active,0.2767559103602711
elo_diff,0.1136492267209618
diff_peak_elo,0.09706509426005815
diff_win_rate,0.08954082697093621
selo_diff,0.07925372300214249
rank_diff,0.07275034946036293
diff_avg_rest_days,0.0672620065919121
age_diff,0.05072869771341382
ht_diff,0.04161647119088738
diff_matches_28d,0.03435193144132585
diff_rolling_10_winrate,0.028762424452329714
round_R32,0.00590396552883434
surface_Hard,0.004963484714294647
tourney_level_A,0.00463830284601194
surface_Clay,0.004176009338899133
round_R16,0.0033403846620035055
tourney_level_M,0.0030363967991581292
best_of_3,0.0029859356718432086
best_of_5,0.002982117010832392
tourney_level_G,0.0023909038393031155
round_R64,0.0023256668525304253
surface_Grass,0.0020199865246292516
tourney_level_D,0.002010050526222505
round_RR,0.0019890147809339138
round_QF,0.0018612757069170914
round_R128,0.001801720061249185
round_SF,0.0010839839988180152
round_F,0.0005198828358597652
tourney_level_F,0.00023425613705790738
round_BR,0.0
