feature,importance
diff_wr_Hard,0.10645851098519231
rank_diff,0.0971049120841272
diff_current_elo,0.0864105267735888
elo_diff,0.08282131328965618
diff_peak_elo,0.0804179897009203
diff_wr_Clay,0.07540154954050896
diff_win_rate,0.07442004712108023
selo_diff,0.07200698400611648
diff_avg_rest_days,0.06402244531354379
diff_wr_Grass,0.053990347157847084
diff_matches_28d,0.036401892780456545
diff_rolling_10_winrate,0.02931185454667318
diff_streak,0.023779304787590813
diff_rolling_5_winrate,0.021338411956833697
diff_h2h_wr_prior,0.01675240131326655
surface_Clay,0.012249718458952508
surface_Hard,0.01100642026928941
round_R32,0.007060085582341545
tourney_level_A,0.005857735522603173
surface_Grass,0.005157205656069066
round_R16,0.005039240902587386
tourney_level_M,0.004511705656844748
round_R64,0.0038728747633326828
best_of_3,0.0036392691052542234
best_of_5,0.003632229817088164
round_QF,0.0031487086213987507
tourney_level_G,0.0029899766199530066
round_R128,0.002818965453360019
round_RR,0.002766871708593084
tourney_level_D,0.0022182882217477735
round_SF,0.0018415801893033425
round_F,0.0011495516555809022
tourney_level_F,0.0003292614443470372
round_BR,7.181899395103198e-05
